Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [My Setting] [Latest] ($USDmm, Historical rate)",Price to Book,Return on Equity,Tier 1 Capital/ Risk Adjusted Assets,Tier 1 Capital / Total Assets,Change in Market Cap (from start of 2008),Change in Market Cap (from start of 2009),Change in Common Equity (from start of 2009),Change in Tier 1 Capital (from start of 2009),Dividends Paid (since 2009),Buybacks since 2009,Net Income (since 2009),Cash Return/ Net Income
Joint Stock Company Halyk Savings Bank Of Kazakhstan (LSE:HSBK),LSE:HSBK,Diversified Banks (Primary),1704.3,1.09,0.2305,0.1797,0.9907,-2117.2,929.7,-16,165,422.5,658.52,2527.1,0.4278
Canadian Western Bank (TSX:CWB),TSX:CWB,Regional Banks (Primary),1703.5,1.25,0.1076,0.0972,1.0453,-293.6,1063.3,804,787,383.6,0,1235.7,0.3104
Al Ahli Bank of Kuwait K.S.C.P. (KWSE:ABK),KWSE:ABK,Diversified Banks (Primary),1702.4,0.93,0.0452,0.1603,0.9143,-3148,-1188.6,700, NA ,488.3,34.48,966.4,0.541
PT Bank CIMB Niaga Tbk (JKSE:BNGA),JKSE:BNGA,Diversified Banks (Primary),1693.2,0.81,0.0359,0.1457,0.9526,517.5,1119.2,1236,1113,54.4,0,1810.9,0.03
Credit Bank of Moscow (public joint-stock company) (MISX:CBOM),MISX:CBOM,Diversified Banks (Primary),1646.7,1.28,0.0656,0.0923,0.9854, NA , NA ,1068,1048,0,0,817.2,0
"GE Money Bank, a. s. (SEP:MONET)",SEP:MONET,Diversified Banks (Primary),1641.3,1.47,0.1617,0.1765,0.8026, NA , NA ,-130, NA ,791.8,0,1311,0.604
UnionBank of the Philippines (PSE:UBP),PSE:UBP,Diversified Banks (Primary),1623.8,1.28,0.1161,0.1305,0.6363,955.3, NA ,699,474,292.3,0,1071.2,0.2729
Indian Bank (BSE:532814),BSE:532814,Diversified Banks (Primary),1616.6,0.65,0.0456,0.1223,0.9275,-506.8,407.1,1134, NA ,0,0,0,7
PT Bank Mega Tbk (JKSE:MEGA),JKSE:MEGA,Diversified Banks (Primary),1592.5,1.91,0.0942,0.2392,0.8925,1049.8, NA ,575, NA ,119.25,0,589.3,0.2024
BIMB Holdings Berhad (KLSE:BIMB),KLSE:BIMB,Diversified Banks (Primary),1590.8,2,0.1753,0.1209,1.1711,1101.4,1365,433,520,188.07,2.99,608.8,0.3138
China Banking Corporation (PSE:CHIB),PSE:CHIB,Diversified Banks (Primary),1577.4,1.25,0.1073,0.1258,0.8009,344.4, NA ,718,537,220.8,0,789.8,0.2796
PT Bank Tabungan Negara (Persero) Tbk (JKSE:BBTN),JKSE:BBTN,Regional Banks (Primary),1573.8,1.57,0.1553,0.1486,0.8781, NA , NA ,726,676,162.94,0,773.6,0.2106
Zenith Bank Plc (NGSE:ZENITHBANK),NGSE:ZENITHBANK,Diversified Banks (Primary),1565.9,0.53,0.1153,0.212,0.9412,-2940.5,-1143.9, NA , NA ,1509.8,0,2954.3,0.5111
First Midwest Bancorp Inc. (NasdaqGS:FMBI),NasdaqGS:FMBI,Regional Banks (Primary),1560.5,1.36,0.0722,0.1028,0.7795,73.7,590.6,428,127,97.69,10.91,210.72,0.5154
PT Bank OCBC NISP Tbk (JKSE:NISP),JKSE:NISP,Diversified Banks (Primary),1537.1,1.29,0.1069,0.161,0.9907,987.9,1170.8,861,857,0,0,590.8,0
PT Bank Pan Indonesia Tbk (JKSE:PNBN),JKSE:PNBN,Diversified Banks (Primary),1530.2,0.74,0.0559,0.1752,0.966,91.9,481.7,1336, NA ,2.63,0,1144.8,0.0023
"Taiwan Business Bank Co., Ltd. (TSEC:2834)",TSEC:2834,Diversified Banks (Primary),1528,0.74,0.078,0.0884,1.0748,336.2,698.9,848, NA ,0,0,786.3,0
Scotiabank Trinidad and Tobago Limited (TTSE:SBTT),TTSE:SBTT,Diversified Banks (Primary),1525.5,2.6,0.1571,0.2439,0.7465,693.1,782.6,292, NA ,307.9,0,591.4,0.5206
Philippine National Bank (PSE:PNB),PSE:PNB,Diversified Banks (Primary),1510,0.7,0.0675,0.1623,0.7302,712.6, NA ,1554,1116,0,0,700.8,0
Simmons First National Corporation (NasdaqGS:SFNC),NasdaqGS:SFNC,Regional Banks (Primary),1506.2,1.44,0.0879,0.1602,0.7727,1137.1,1094.8,757,546,107.4,31.68,248.7,0.5592
National Bank of Pakistan (KASE:NBP),KASE:NBP,Diversified Banks (Primary),1494.1,0.92,0.1364,0.1305,0.5609,-1576.2,922.1,308,-38,680,0,1171.6,0.5804
SpareBank 1 SR-Bank (OB:SRBANK),OB:SRBANK,Regional Banks (Primary),1485.9,0.78,0.1007,0.1417,0.9981,625.3,1137.7,1056,1093,335.1,0,1627,0.206
Valiant Holding AG (SWX:VATN),SWX:VATN,Regional Banks (Primary),1481.8,0.72,0.0588,0.1558,0.9631,-854.6,-1477.4,485, NA ,478,475.83,861.8,1.1068
"United Community Banks, Inc. (NasdaqGS:UCBI)",NasdaqGS:UCBI,Regional Banks (Primary),1470.2,1.46,0.083,0.1145,0.7673,719,818.4,192,102,67.44,0,-511.1,-0.132
Zuger Kantonalbank (SWX:ZG),SWX:ZG,Regional Banks (Primary),1466.6,1.2,0.052,0.1705,0.9516,614.6,482.8,780, NA ,285.6,0,448.5,0.6368
"Tatra banka, a.s. (BSSE:1TAT01DE)",BSSE:1TAT01DE,Diversified Banks (Primary),1454.9,1.34,0.1309,0.1407,0.8024, NA , NA ,156, NA ,906.9,53.42,983,0.9769
comdirect bank AG (XTRA:COM),XTRA:COM,Diversified Banks (Primary),1444.5,2.13,0.1535,0.3626,0.6944,-273.8,225,14, NA ,553.9,0,638.4,0.8676
Bank of Cyprus Public Company Limited (CSE:BOCY),CSE:BOCY,Diversified Banks (Primary),1380.2,0.42,-0.148,0.1397,0.8995,1290.9,1361.1,466, NA ,208.2,60.57,-7448.1,-0.0361
Banco do Estado do Rio Grande do Sul S.A. (BOVESPA:BRSR6),BOVESPA:BRSR6,Diversified Banks (Primary),1374.2,0.88,0.1791,0.148,0.9902,-1155.1,392.8,237, NA ,119.94,0,2451.2,0.0489
Alliance Financial Group Berhad (KLSE:AFG),KLSE:AFG,Diversified Banks (Primary),1372.3,1.1,0.1061,0.1207,0.8531,-69.6,562.9,490,451,405.3,31.52,962.5,0.4538
First Financial Bancorp. (NasdaqGS:FFBC),NasdaqGS:FFBC,Regional Banks (Primary),1340.9,1.66,0.1,0.1029,0.8017,914.9,876.5,539,293,284.6,23.81,603,0.5115
Piraeus Bank S.A. (ATSE:TPEIR),ATSE:TPEIR,Diversified Banks (Primary),1312.1,0.12,-0.0835,0.1749,0.9538,-8828.1,-1523,6742,6091,94.75,19.71,-9893.4,-0.0116
First Citizens Bank Limited (TTSE:FIRST),TTSE:FIRST,Diversified Banks (Primary),1312,1.34,0.098,0.3838,0.7944, NA , NA ,571,389,262.3,0,662.5,0.3959
Eurobank Ergasias S.A. (ATSE:EUROB),ATSE:EUROB,Diversified Banks (Primary),1284.2,0.22,0.063,0.1703,1.2108,-17428,-2788.8,929,1788,457,13.18,-12897,-0.0365
"The Shiga Bank, Ltd. (TSE:8366)",TSE:8366,Regional Banks (Primary),1281.4,0.42,0.0485,0.1334,0.8545,-487.1,-431.6, NA , NA ,36.5,0.8,550.6,0.0677
"Grupo Financiero Interacciones, S.A. de C.V. (BMV:GFINTER O)",BMV:GFINTER O,Regional Banks (Primary),1277.9,1.58,0.1639,0.1305,0.8195,693.4, NA ,563, NA ,129,38.03,750.2,0.2226
Collector AB (OM:COLL),OM:COLL,Diversified Banks (Primary),1277.7,6.54,0.2115,0.1693,0.9345, NA , NA , NA , NA ,8.78,0,98,0.0896
Bank BGZ BNP Paribas S.A. (WSE:BGZ),WSE:BGZ,Diversified Banks (Primary),1275.6,0.8,0.0096,0.1176,0.9395, NA , NA ,818,801,0,0,247.87,0
Banca Popolare di Sondrio S.C.p.A. (BIT:BPSO),BIT:BPSO,Diversified Banks (Primary),1263.7,0.45,0.0313,0.105,0.9532,-2965,-1508.5,561, NA ,343.7,0.32,962.9,0.3573
The Bank of NT Butterfield & Son Limited (BER:NTB.BH),BER:NTB.BH,Diversified Banks (Primary),1248,1.66,0.1106,0.1624,0.9318, NA , NA ,233,236,209,292.41,-90.8,-5.5221
City Union Bank Ltd. (BSE:532210),BSE:532210,Diversified Banks (Primary),1224.2,2.66,0.1468,0.1508,0.9926,967.7,1128.4,330, NA ,0,0,362.4,0
PT Bank Pembangunan Daerah Jawa Barat dan Banten Tbk (JKSE:BJBR),JKSE:BJBR,Diversified Banks (Primary),1209.5,2.16,0.2237,0.1524,0.822, NA , NA ,334, NA ,382.8,0,705.8,0.5424
Equity Group Holdings Limited (NASE:EQTY.O),NASE:EQTY.O,Diversified Banks (Primary),1188.6,1.7,0.2663,0.1785,0.938, NA ,355.2,448,434,290.8,0,918.1,0.3167
"Ashikaga Holdings Co., Ltd.",,Regional Banks (Primary),1177.7,0.44,0.0764,0.0861,0.8644, NA , NA , NA , NA ,0,0,511.2,0
PT Bank Tabungan Pensiunan Nasional Tbk (JKSE:BTPN),JKSE:BTPN,Diversified Banks (Primary),1169.2,1.19,0.1301,0.2287,0.935, NA , NA ,837,799,0,0,947.4,0
Liechtensteinische Landesbank AG (SWX:LLB),SWX:LLB,Diversified Banks (Primary),1169.2,0.71,0.0542,0.2372,1.0865,-1331.6,-182.3,177,573,444.71,21.17,598.9,0.7779
Union Bankshares Corporation (NasdaqGS:UBSH),NasdaqGS:UBSH,Regional Banks (Primary),1161.5,1.17,0.0726,0.1193,0.7853,878.5,825.7,719,514,100.33,92.8,250.76,0.7702
Spar Nord Bank A/S (CPSE:SPNO),CPSE:SPNO,Regional Banks (Primary),1159.9,1.01,0.0842,0.1494,0.8806,-145.5,716.1,393,231,49.6,289.33,458.2,0.7397
permanent tsb Group Holdings p.l.c. (ISE:IL0A),ISE:IL0A,Diversified Banks (Primary),1104.3,0.42,0.0277,0.1808,0.9215,-3503.6,517.6,-677,-3435,0,0,-3433.9,0
"The San-in Godo Bank, Ltd. (TSE:8381)",TSE:8381,Regional Banks (Primary),1095.7,0.35,0.035,0.1569,0.8345,-267.2,-267.4,693,352,33.4,40.43,760.1,0.0971
Grupo Security S.A. (SNSE:SECURITY),SNSE:SECURITY,Diversified Banks (Primary),1093.8,1.4,0.1283,0.0868,0.74,236.4,728.4,401, NA ,500.2,0.79,610.5,0.8206
"Banco Latinoamericano de Comercio Exterior, S.A (NYSE:BLX)",NYSE:BLX,Diversified Banks (Primary),1088.4,1.12,0.1094,0.1627,1.0812,495.2,565.5,398, NA ,286.7,0.67,564.5,0.5091
Grupo Supervielle S.A. (BASE:SUPV),BASE:SUPV,Diversified Banks (Primary),1071.3,5.84,0.3273,0.0615,0.8887, NA , NA ,95, NA ,9.91,0,288.2,0.0344
"Boston Private Financial Holdings, Inc. (NasdaqGS:BPFH)",NasdaqGS:BPFH,Regional Banks (Primary),1069.5,1.54,0.0906,0.1259,0.9866,56,633.5,229,-46,107.6,0,290.83,0.37
Allied Bank Limited (KASE:ABL),KASE:ABL,Diversified Banks (Primary),1067.9,1.24,0.1833,0.1721,0.7135,-69.1,811.3,578,354,365.9,0,853.5,0.4287
PT Bank Permata Tbk (JKSE:BNLI),JKSE:BNLI,Diversified Banks (Primary),1066.5,0.78,-0.0792,0.1093,0.8295,336,725,975,788,26,0,719.9,0.0361
Bank ABC (BAX:ABC),BAX:ABC,Diversified Banks (Primary),1057.4,0.28,0.049,0.173,1.079,-1772.6, NA ,1980,1562,312,0,1349,0.2313
Bank AlJazira (SASE:1020),SASE:1020,Diversified Banks (Primary),1047.1,0.53,0.1193,0.1379,1.0223,-2882.5,-155.9,740,785,85.62,0,898.15,0.0953
Rizal Commercial Banking Corporation (PSE:RCB),PSE:RCB,Diversified Banks (Primary),1039.1,0.84,0.0894,0.1255,0.8396,482.6, NA ,674,492,202.3,144.6,757.9,0.4577
PT Bank Mayapada Internasional Tbk (JKSE:MAYA),JKSE:MAYA,Diversified Banks (Primary),1027.5,3.09,0.1989,0.0993,0.8123,765.3,640.2,246,187,18.43,0,172.81,0.1066
Banco Comercial Português S.A. (ENXTLS:BCP),ENXTLS:BCP,Diversified Banks (Primary),1022.6,0.21,-0.0454,0.1333,1.2655,-14357.9,-4313.9,-1975,-407,232.9,0,-2963.5,-0.0786
Sharjah Islamic Bank PJSC (ADX:SIB),ADX:SIB,Diversified Banks (Primary),997.2,0.78,0.0983,0.2089,1.0023,-218.8,666.6,148,203,308.8,0,583.7,0.529
Bank of Valletta p.l.c. (MTSE:BOV),MTSE:BOV,Diversified Banks (Primary),992.7,1.33,0.1278,0.1126,0.7613,-8693.9,-2338.4,194, NA ,258.1,0,615,0.4197
"Scotiabank Chile, S.A. (SNSE:SUD AMER-A)",SNSE:SUD AMER-A,Diversified Banks (Primary),976.8,0.89,0.1289,0.0877,1,631.4, NA ,-63, NA ,203.1,0,835.6,0.2431
Ringkjøbing Landbobank Aktieselskab (CPSE:RILBA),CPSE:RILBA,Regional Banks (Primary),973.6,2.03,0.1488,0.1706,0.9039,119.6,684.2,145,66,64.12,76.35,404.2,0.3475
Bank Dhofar SAOG (MSM:BKDB),MSM:BKDB,Diversified Banks (Primary),970.7,0.78,0.1055,0.1268,0.9447,165.2,290.6,748,721,214.9,0,665,0.3232
"King's Town Bank Co., Ltd. (TSEC:2809)",TSEC:2809,Diversified Banks (Primary),968.6,1.12,0.1254,0.143,0.9416, NA ,784.4,526, NA ,171.7,36.25,682.09,0.3049
InvestBank P.S.C. (ADX:INVESTB),ADX:INVESTB,Diversified Banks (Primary),955.6,1.24,0.0809,0.1735,0.9356,-73.6,144.3,348,293,236,0,591.3,0.3991
BBK B.S.C. (BAX:BBK),BAX:BBK,Diversified Banks (Primary),954.1,1,0.153,0.1374,0.9901,-251, NA ,399,397,316.1,18.59,786.8,0.4254
"The Hokkoku Bank, Ltd. (TSE:8363)",TSE:8363,Regional Banks (Primary),934.2,0.47,0.0447,0.1163,0.9224,-633.9,-234.8,236,251,46.8,0.28,511.8,0.092
PT Bank Sinarmas Tbk (JKSE:BSIM),JKSE:BSIM,Regional Banks (Primary),927.7,3.49,0.0857,0.1359,0.8375, NA , NA ,228, NA ,0,0,96.57,0
FNB Namibia Holdings Limited (NMSE:FNB),NMSE:FNB,Diversified Banks (Primary),923.7,3.39,0.3003,0.1579,0.9637,565.1,597.4,60,85,138.4,3.37,301.9,0.4696
Byblos Bank S.A.L. (BDB:BYB),BDB:BYB,Diversified Banks (Primary),923.2,0.73,0.1228,0.1478,1.1976,28, NA ,567,632,697.5,16.64,1111.5,0.6425
SpareBank 1 SMN (OB:MING),OB:MING,Regional Banks (Primary),923,0.6,0.1009,0.1564,1.0296,184.4,672,747,867,227,0.11,1322.7,0.1717
"Taichung Commercial Bank Co., Ltd. (TSEC:2812)",TSEC:2812,Diversified Banks (Primary),902.3,0.74,0.0777,0.0979,1.016,377.6,620.4,739, NA ,53.9,0,484.69,0.1112
Bank of Astana JSC (KAS:ABBN),KAS:ABBN,Diversified Banks (Primary),893.4,12.89,0.0424,0.1067,0.987, NA , NA , NA , NA ,0,0,24.28,0
Far Eastern International Bank Ltd. (TSEC:2845),TSEC:2845,Diversified Banks (Primary),890.6,0.75,0.092,0.0945,0.9261,285.3,563.9,590, NA ,114.93,0,617.9,0.186
Kenya Commercial Bank Limited (NASE:KCB),NASE:KCB,Diversified Banks (Primary),885.8,1.12,0.26,0.1412,0.6905, NA ,219.3,525,341,354.2,0,957.4,0.37
National Bank of Oman SAOG (MSM:NBOB),MSM:NBOB,Diversified Banks (Primary),884.6,0.66,0.1193,0.1627,0.9412,-674.6,-140.1,699,677,321.4,0,713.9,0.4502
Commercial Bank of Ceylon PLC (COSE:COMB-N-0000),COSE:COMB-N-0000,Diversified Banks (Primary),881.9,1.79,0.184,0.1155,0.9146,555.8,736.8,260,243,169.4,0,483.3,0.3505
"Heartland Financial USA, Inc. (NasdaqGS:HTLF)",NasdaqGS:HTLF,Regional Banks (Primary),880.4,1.51,0.1207,0.1156,1.1758,575,545.8,352,316,68.4,9.77,246.96,0.3165
Oman International Development and Investment Company SAOG (MSM:OMVS),MSM:OMVS,Diversified Banks (Primary),878.3,1.54,0.1094,0.1143,0.9687,574.1,649.2,383,319,60.49,0,244,0.2479
Karur Vysya Bank (BSE:590003),BSE:590003,Diversified Banks (Primary),877.8,1.27,0.1243,0.1126,0.8888,301.5,632.5,424, NA ,0,0,577.5,0
Allahabad Bank (BSE:532480),BSE:532480,Diversified Banks (Primary),864.8,0.38,-0.0479,0.0863,0.9028,-487.3,386.5,1079, NA ,0,0,0,7
United Arab Bank Public Joint Stock Company (ADX:UAB),ADX:UAB,Diversified Banks (Primary),842.3,1.2,-0.1699,0.1422,1.0423,-450.2, NA ,339, NA ,278.1,0,631.8,0.4402
Van Lanschot NV (ENXTAM:LANS),ENXTAM:LANS,Diversified Banks (Primary),832.4,0.59,0.0241,0.1626,0.8049,-2911.5,-1504.3,-302,-810,104.38,11.52,82.5,1.4049
Credit Agricole - Egypt Bank (S.A.E.) (CASE:CIEB),CASE:CIEB,Diversified Banks (Primary),826.1,1.86,0.3013,0.1317,0.6756,-527.4,401.8,72, NA ,396.8,0,591,0.6714
United Gulf Bank B.S.C. (BAX:UGB),BAX:UGB,Diversified Banks (Primary),821.4,2.09,0.0259,0.1173,0.803, NA , NA ,-309,-143,160.9,5.53,103.86,1.6024
Skandiabanken ASA (OB:SKBN),OB:SKBN,Diversified Banks (Primary),801.9,1.66,0.1656,0.1594,0.9969, NA , NA , NA , NA ,0,0,168.6,0
Bank Of Sharjah P.J.S.C. (ADX:BOS),ADX:BOS,Diversified Banks (Primary),800.5,0.67,0.0549,0.1953,0.945,-275,-296.9,169,182,365.7,89.32,607,0.7496
Standard Chartered Bank (Pakistan) Limited (KASE:SCBPL),KASE:SCBPL,Diversified Banks (Primary),800.3,1.35,0.1535,0.1736,0.5811,-2213.8,375.9,50,140,342.5,0,458.15,0.7476
Aktia Bank PLC (HLSE:AKTAV),HLSE:AKTAV,Regional Banks (Primary),783.6,1.17,0.0867,0.2068,0.672, NA , NA ,284,17,211.3,15.74,410.5,0.5531
Aldermore Group PLC (LSE:ALD),LSE:ALD,Diversified Banks (Primary),776.8,0.99,0.1508,0.138,0.955, NA , NA , NA , NA ,5.16,0,219.87,0.0235
Jordan Islamic Bank (ASE:JOIB),ASE:JOIB,Diversified Banks (Primary),772.8,1.76,0.1659,0.205,0.91,245.3,349.4,212,195,156.8,0,367.8,0.4263
"Liberbank, S.A. (BME:LBK)",BME:LBK,Diversified Banks (Primary),765.2,0.28,0.0306,0.1395,0.9013, NA , NA , NA , NA ,9.67,45.42,-1705.8,-0.0323
Indian Overseas Bank (BSE:532388),BSE:532388,Diversified Banks (Primary),739,0.31,-0.2732,0.0775,0.96,-1735.3,-65.1,953, NA ,0,0,472.8,0
Bank of Jordan (ASE:BOJX),ASE:BOJX,Diversified Banks (Primary),733.9,1.44,0.119,0.1734,0.7641,317.5,424,258,190,205.3,0,366.1,0.5608
Union Bank of Taiwan (TSEC:2838),TSEC:2838,Diversified Banks (Primary),733.3,0.69,0.0874,0.0995,0.8189,336.5,432,659, NA ,51.74,0,495.4,0.1044
UCO Bank (BSE:532505),BSE:532505,Diversified Banks (Primary),727.2,0.38,-0.274,0.0763,0.7919,-476.5,405.1,1247, NA ,0,0,1015.8,0
Ahli Bank S.A.O.G. (MSM:ABOB),MSM:ABOB,Diversified Banks (Primary),717.9,1.22,0.1204,0.119,0.9061,239.7,467.9,364,324,60.89,0,359.6,0.1693
State Bank of Bikaner & Jaipur (BSE:501061),BSE:501061,Diversified Banks (Primary),717.5,0.71,0.0522,0.0897,1.0018,-255.6,494.8,614, NA ,0,0,836.7,0
Bank Coop AG (SWX:BC),SWX:BC,Diversified Banks (Primary),712.7,0.61,0.0385,0.1628,0.9739,-454.5,-469,345, NA ,218.1,100.73,384.2,0.8299
"The Bank of Nagoya, Ltd. (TSE:8522)",TSE:8522,Regional Banks (Primary),707.2,0.35,0.0311,0.1125,0.875,-545.4,-406.5, NA , NA ,31.9,0.41,346.6,0.0932
"Bank Sohar, S.A.O.G. (MSM:BKSB)",MSM:BKSB,Diversified Banks (Primary),695.8,1.06,0.0896,0.1131,0.9462,262.4,386.8,407,373,69.7,0,364.3,0.1913
"EnTie Commercial Bank, Co. Ltd. (TSEC:2849)",TSEC:2849,Diversified Banks (Primary),684.6,0.74,0.0805,0.1242,0.9547,160.5,175.9,399, NA ,164.1,0,575.5,0.2851
Oriental Bank of Commerce (BSE:500315),BSE:500315,Diversified Banks (Primary),675.7,0.29,-0.0001,0.091,1.0066,-1099.2,-115.7,839, NA ,0,0,1347.16,0
BKS Bank AG (WBAG:BKS),WBAG:BKS,Diversified Banks (Primary),668.2,0.72,0.0554,0.1179,0.6691, NA , NA ,285, NA ,71.59,0,397.6,0.1801
Ajman Bank PJSC (DFM:AJMANBANK),DFM:AJMANBANK,Diversified Banks (Primary),663.1,1.98,0.1068,0.1214,1.0158, NA ,420.8,62, NA ,0,0,67.71,0
HSBC Bank Malta p.l.c. (MTSE:HSB),MTSE:HSB,Diversified Banks (Primary),662.6,1.32,0.0719,0.1232,0.7155,-189.6,-449.5,106,46,258.8,0,447.4,0.5785
PT Bank Pembangunan Daerah Jawa Timur Tbk (JKSE:BJTM),JKSE:BJTM,Diversified Banks (Primary),649,1.42,0.1528,0.2025,0.8819, NA , NA , NA , NA ,280.6,0,472.2,0.5942
The Jammu & Kashmir Bank Limited (BSE:532209),BSE:532209,Diversified Banks (Primary),639.2,0.66,0.0644,0.106,0.9932,-414.8,285.4, NA , NA ,0,0,0,7
Islami Bank Bangladesh Limited (DSE:ISLAMIBANK),DSE:ISLAMIBANK,Diversified Banks (Primary),637.6,1.05,0.068,0.0948,0.8192,302.8,219.3,401,332,77.09,0,394.1,0.1956
Bank für Tirol und Vorarlberg Aktiengesellschaft (WBAG:BTS),WBAG:BTS,Diversified Banks (Primary),632.2,0.52,0.1097,0.1518,0.8526,-205.6,-87.5,438, NA ,71.59,0,625.1,0.1145
Capricorn Investment Group Limited (NMSE:CGP),NMSE:CGP,Diversified Banks (Primary),632.1,2.16,0.2116,0.1433,0.8973, NA , NA ,141,135,38.9,6.46,165.9,0.2734
National Microfinance Bank Plc (DAR:NMB),DAR:NMB,Diversified Banks (Primary),631.1,2.05,0.2248,0.2019,0.8936, NA , NA , NA , NA ,120.4,0,421.7,0.2855
Nordax Group AB (publ) (OM:NDX),OM:NDX,Diversified Banks (Primary),628.1,3.06,0.1909,0.1264,0.7901, NA , NA , NA , NA ,0,0,94.9,0
EastWest Banking Corporation (PSE:EW),PSE:EW,Diversified Banks (Primary),621.4,0.93,0.0813,0.1241,0.7733, NA , NA ,586,424,35.26,0,274,0.1287
Enterprise Financial Services Corp. (NasdaqGS:EFSC),NasdaqGS:EFSC,Regional Banks (Primary),620.6,1.77,0.1249,0.1061,1.0681,324.7,427.1,167,184,33.34,0,110.07,0.3029
Vijaya Bank Ltd. (BSE:532401),BSE:532401,Diversified Banks (Primary),616.1,0.54,0.0515,0.0945,1.0399,-324.3,317.3,628, NA ,0,0,640.9,0
JSC TBC Bank (LSE:TBCB),LSE:TBCB,Diversified Banks (Primary),612.9,1.21,0.22,0.2472,0.9551, NA , NA ,355,350,48.18,0,387.27,0.1244
Industrial Bank of Taiwan (GTSM:2897),GTSM:2897,Diversified Banks (Primary),612,0.68,0.0523,0.1301,0.7182,7.7,320.5,185, NA ,108.6,1.69,281.78,0.3914
Standard Chartered Bank Kenya Limited (NASE:SCBK.O),NASE:SCBK.O,Diversified Banks (Primary),610.7,1.51,0.1887,0.1753,0.8063, NA ,54.2,256,206,302.8,0,575.7,0.526
The Co-operative Bank of Kenya Limited (NASE:COOP.O),NASE:COOP.O,Diversified Banks (Primary),608.5,1.25,0.2537,0.1452,0.8711, NA ,-168.4,312,254,117.16,0,556.9,0.2104
Seacoast Banking Corp. of Florida (NasdaqGS:SBCF),NasdaqGS:SBCF,Regional Banks (Primary),603.4,1.71,0.056,0.1521,1.0294,410,477.7,181,153,12.78,0,-94.14,-0.1358
Banca Monte dei Paschi di Siena S.p.A. (BIT:BMPS),BIT:BMPS,Diversified Banks (Primary),602.6,0.06,0.0385,0.1285,0.9484,-15749.3,-13697.6,-10292, NA ,962.81,15.6,-16726.2,-0.0585
Andhra Bank (BSE:532418),BSE:532418,Diversified Banks (Primary),591.1,0.36,0.0506,0.0887,1.0908,-713,41.3,942, NA ,0,0,0,7
Kuwait International Bank K.S.C.P. (KWSE:KIB),KWSE:KIB,Diversified Banks (Primary),574.2,0.71,0.0721,0.2053,0.9671,-1482.9,-113.9,210, NA ,88.96,0,262.7,0.3387
Secure Trust Bank Plc (AIM:STB),AIM:STB,Diversified Banks (Primary),553.2,2.66,0.9251,0.136,0.9621, NA , NA ,196,188,57.87,0,146.81,0.3942
Warba Bank K.S.C.P. (KWSE:WARBABANK),KWSE:WARBABANK,Diversified Banks (Primary),548.9,1.81,0.0124,0.2492,1, NA , NA , NA , NA ,0,0,-21.75,0
DCB Bank Limited (BSE:532772),BSE:532772,Diversified Banks (Primary),544.9,2.02,0.1065,0.1279,0.9586,-97.9,467.4,152, NA ,0,0,68.99,0
BRAC Bank Limited (DSE:BRACBANK),DSE:BRACBANK,Diversified Banks (Primary),543.7,2.11,0.1527,0.104,0.9101,308.2,354,187,165,28.96,0,150.58,0.1923
Bank of Maharashtra (BSE:532525),BSE:532525,Diversified Banks (Primary),537.2,0.4,0.0133,0.0902,1.0358,-340.9,326.9,839, NA ,0,0,0,7
"The Hokuetsu Bank,Ltd. (TSE:8325)",TSE:8325,Regional Banks (Primary),536.1,0.51,0.0661,0.0901,0.8022,-46.8,-31.9, NA , NA ,42.8,0.52,330,0.1313
Meezan Bank Limited (KASE:MEBL),KASE:MEBL,Diversified Banks (Primary),534.2,2.13,0.1911,0.102,0.9399,371.9,400.1,173,157,85.62,0,239.4,0.3576
JSC Kazkommertsbank (LSE:KKB),LSE:KKB,Diversified Banks (Primary),532,0.5,0.2194,0.0829,1.0422,-3348.2,-1623.4,-1522,-1630,39.41,287.81,-18.7,-17.4986
SpareBank 1 Nord-Norge (OB:NONG),OB:NONG,Regional Banks (Primary),527,0.47,0.1005,0.151,0.9146,132.7,414.6,486,431,218.51,44.9,887.2,0.2969
Access Bank Plc (NGSE:ACCESS),NGSE:ACCESS,Diversified Banks (Primary),526.4,0.29,0.1424,0.1516,0.8316,-1167.3,-527.6, NA , NA ,533,10.88,1194.63,0.4553
HSBC Bank Oman S.A.O.G. (MSM:HBMO),MSM:HBMO,Diversified Banks (Primary),524.6,0.65,0.0507,0.1836,0.9398, NA , NA , NA , NA ,53.5,0,149,0.3591
Heartland Bank Limited (NZSE:HBL),NZSE:HBL,Diversified Banks (Primary),520.7,1.47,0.1086,0.1379,0.8773, NA , NA , NA , NA ,45.02,0.78,108,0.4241
Al Salam Bank-Bahrain B.S.C. (BAX:SALAM),BAX:SALAM,Diversified Banks (Primary),516.6,0.61,0.0378,0.1791,0.8428,-137.5,236.5,389,427,118.5,1.3,190.93,0.6275
Ecobank Ghana Limited (GHSE:EGH),GHSE:EGH,Diversified Banks (Primary),514.5,2.22,0.36,0.1407,0.8103,-2095.2, NA ,164,122,239.2,0,456.9,0.5235
Jordan Kuwait Bank (ASE:JOKB),ASE:JOKB,Diversified Banks (Primary),510.9,0.81,0.0754,0.1782,0.8388,-362.4,-150.4,295,216,170.6,0,443.9,0.3843
SBM Holdings Ltd (MUSE:SBMH),MUSE:SBMH,Diversified Banks (Primary),504.4,0.82,0.1191,0.2175,0.8227,-218.9,89.7,215,237,187.5,0,494.8,0.3789
