Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [My Setting] [Latest] ($USDmm, Historical rate)",Price to Book,Return on Equity,Tier 1 Capital/ Risk Adjusted Assets,Tier 1 Capital / Total Assets,Change in Market Cap (from start of 2008),Change in Market Cap (from start of 2009),Change in Common Equity (from start of 2009),Change in Tier 1 Capital (from start of 2009),Dividends Paid (since 2009),Buybacks since 2009,Net Income (since 2009),Cash Return/ Net Income
F&M Bank Corp. (OTCPK:FMBM),OTCPK:FMBM,Regional Banks (Primary),82.5,1.13,0.1208,0.1413,1.0918,9.5,13.1,37,45,13.22,0.34,34.22,0.3963
Abu Dhabi Islamic Bank - Egypt (S.A.E) (CASE:ADIB),CASE:ADIB,Diversified Banks (Primary),82.3,0.57,0.2356,0.076,0.8603,-10.9,-58.4,48, NA ,2.71,0,-325.8,-0.0083
VersaBank (TSX:VB),TSX:VB,Regional Banks (Primary),81.2,0.73,0.0646,0.129,1.1775, NA , NA , NA , NA ,1.7,10.7,24.02,0.5164
JS Bank Limited (KASE:JSBL),KASE:JSBL,Regional Banks (Primary),80.8,0.54,0.1504,0.1325,0.8314,-39.8,56,81,80,1.49,3.4,39.93,0.1225
P.T. Bank Ganesha Tbk (JKSE:BGTG),JKSE:BGTG,Regional Banks (Primary),78.3,5.15,0.0895,0.1357,0.8882, NA , NA ,4,3,0,0,6.4,0
Suez Canal Bank (S.A.E.) (CASE:CANA),CASE:CANA,Diversified Banks (Primary),78.3,0.34,0,0.1701,0.9549,-427.7,-49.1,92, NA ,0,0,3.32,0
Banco do Estado de Sergipe S.A. (BOVESPA:BGIP4),BOVESPA:BGIP4,Regional Banks (Primary),77.8,1.07,0.1075,0.0962,0.8532,-68.9,19.6,16, NA ,66.25,0,181.18,0.3657
Samba Bank Limited (KASE:SBL),KASE:SBL,Diversified Banks (Primary),77.2,0.68,0.0525,0.2877,0.9167,-16.9,22.3,44,35,0,0.09,4.44,0.0203
Joint Stock Company Bank CenterCredit (KAS:CCBN),KAS:CCBN,Diversified Banks (Primary),71.7,0.33,0.0315,0.0802,1.2042, NA , NA ,-560,-515,0,2.15,-156.8,-0.0137
Banco Mercantil do Brasil S.A. (BOVESPA:BMEB4),BOVESPA:BMEB4,Diversified Banks (Primary),70.1,0.39,0.0683,0.0856,0.9586,-202.1,-35.6,-46,-48,58.33,0,135.03,0.432
FCMB Group Plc (NGSE:FCMB),NGSE:FCMB,Diversified Banks (Primary),69.5,0.09,0.0526,0.1371,0.7353,-1452.6,-653.5, NA , NA ,119.05,0,343.07,0.347
The Premier Bank Limited (DSE:PREMIERBAN),DSE:PREMIERBAN,Diversified Banks (Primary),67.7,0.52,0.0824,0.0577,0.5557, NA ,1.5,86,28,0,0,88.41,0
Societe Generale Ghana Limited (GHSE:SOGEGH),GHSE:SOGEGH,Diversified Banks (Primary),67.4,0.98,0.2052,0.1226,0.7787, NA , NA ,14,48,35.06,0,86.27,0.4064
Community West Bancshares (NasdaqGM:CWBC),NasdaqGM:CWBC,Regional Banks (Primary),67.1,1.08,0.0945,0.1245,1.0307,12.5,45.9,10,-3,6.96,0.03,7.91,0.8828
Dhanlaxmi Bank Limited (BSE:532180),BSE:532180,Regional Banks (Primary),65.2,0.85,-0.3499,0.0612,0.8081,-32.1,-6.8,-7,-17,0,0,-94.38,0
Banco Pine S.A. (BOVESPA:PINE4),BOVESPA:PINE4,Diversified Banks (Primary),64.2,0.22,0.0236,0.141,0.92,-846.1,-68.9,-64, NA ,236.8,30.31,439.7,0.6075
Banco Indusval S.A. (BOVESPA:IDVL4),BOVESPA:IDVL4,Diversified Banks (Primary),61.8,0.41,-0.1516,0.1646,0.7351,-410.1,-11.4,-45, NA ,45.07,9.85,-80.88,-0.679
PT Bank Victoria Internasional Tbk (JKSE:BVIC),JKSE:BVIC,Regional Banks (Primary),59.4,0.39,0.0061,0.1458,0.983,22.2,30.4,105,103,6.55,0,94.26,0.0695
Skjern Bank A/S (CPSE:SKJE),CPSE:SKJE,Regional Banks (Primary),57.9,0.64,0.0812,0.1438,0.9467,-69.8,31.5,3,-3,0,0,-13.1,0
Summit Bank Limited (KASE:SMBL),KASE:SMBL,Regional Banks (Primary),57.3,0.61,-0.0901,0.0873,0.9529, NA ,22.3,20,18,0,0,-132.74,0
"Trinity Bank, N.A. (OTCPK:TYBT)",OTCPK:TYBT,Regional Banks (Primary),55.8,1.99,0.1367,0.1889,0.9537, NA , NA ,14,13,0,0,18.37,0
Fauquier Bankshares Inc. (NasdaqCM:FBSS),NasdaqCM:FBSS,Regional Banks (Primary),55.5,1.06,-0.0045,0.1165,1.0456,-4.8,10.1,11,7,14.58,0,21.79,0.6692
First National Corporation (OTCPK:FXNC),OTCPK:FXNC,Regional Banks (Primary),54.3,1.18,0.0913,0.1262,1.2174,-11, NA ,7,7,10.17,0,10.51,0.9674
First Merchant Bank Limited (MAL:FMB),MAL:FMB,Diversified Banks (Primary),53.4,1.51,0.1754,0.1321,0.6742, NA , NA , NA , NA ,26.91,0,74.57,0.3609
Bank of the James Financial Group Inc. (NasdaqCM:BOTJ),NasdaqCM:BOTJ,Regional Banks (Primary),53.3,1.11,0.0778,0.1071,0.9917,17.5,30.8,24,24,1.31,0,14.07,0.093
Pan Asia Banking Corporation PLC (COSE:PABC-N-0000),COSE:PABC-N-0000,Diversified Banks (Primary),50.3,1.26,0.2048,0.0783,0.8975,39.9,40.3,26,22,4.57,0,31.75,0.1439
American Riviera Bank (OTCPK:ARBV),OTCPK:ARBV,Regional Banks (Primary),50.1,1.76,0.0737,0.1301,1,28.5,37.6,9,9,0,0.21,7.88,0.0269
PT Bank Ina Perdana Tbk (JKSE:BINA),JKSE:BINA,Diversified Banks (Primary),48.3,2.09,0.0814,0.1965,0.8788, NA , NA ,14, NA ,0,0,6.93,0
PT Bank Agris Tbk (JKSE:AGRS),JKSE:AGRS,Regional Banks (Primary),38.9,0.95,0.0041,0.1641,0.8783, NA , NA , NA , NA ,0,0,3.21,0
Fortis Microfinance Bank PLC (NGSE:FORTISMFB),NGSE:FORTISMFB,Regional Banks (Primary),38.7,2.87,0.1615,0.1817,0.9407, NA , NA , NA , NA ,0,0,11.53,0
P.T. Bank Bumi Arta Tbk (JKSE:BNBA),JKSE:BNBA,Regional Banks (Primary),35.9,0.4,0.0559,0.2474,0.9698,-29.6, NA ,54,60,6.64,0,29.67,0.2237
