Company Name,Price,DCF Model,DCF Value,Multiple used,Relative Value,Option Value,Recommendation
Merck & Co. Inc.,78.04,FCFF,67.19,PEG,75,,Sell
Mimecast,51.17,FCFF,37.94,EV/Sales,55.46,,Hold
Mimecast,51.17,FCFF,37.94,EV/Sales,55.46,,Hold
Mitra Adiperkasa,940,FCFF,967,EV/Sales,"IDR1,868",,BUY
Mitra Adiperkasa,940,FCFF,967,EV/Sales,1868,,BUY
Moelis,35.1,FCFF,73.32,EV/Sales,35.2,,Buy
Momo Inc.,24.56,FCFF,33.68,EV/Sales,15.66,,Buy
Moncler S.p.A.,36.67,FCFF,43.46,EV/Sales,34.33,,Buy
MongoDB,133.1,FCFF,69.5,Price/Sales,63.77,,Sell
Morgan Stanley,46.34,Dividends,30.76,PBV,44.31,,Sell
MSI,77.5,FCFF,96.05,P/E,122,,Buy
MSI,77.5,FCFF,96.05,P/E,122,,Buy
MTN,97.19,FCFF,97.83,PBV,191.89,,Hold
Nano Dimension,0.72,FCFF,1.26,EV/Sales,1.35,,Buy
Naspers Limited,49.04,FCFF,51.59,EV/EBITDA,50.17,,Buy
Natura Cosmeticos,51.29,FCFF,33.27,EV/ EBITDA,45.7,,Hold
Navigator,3.56,FCFE,4.9,PE,6.2,,Buy
Netflix,385.03,FCFF,221.41,EV/Sales,147.41,,Sell
Netflix,356.56,FCFF,187.91,PE,172.76,,Sell
Netflix,361.04,FCFF,206.86,EV/Sales,195.56,,Sell
Netflix,361.04,FCFF,201.19,EV/Sales,242.5,,Sell
Netflix,378.17,FCFF,135.81,EV/Sales,49.23,,Sell
Netflix,361.04,FCFF,338.81,EV/Sales,157.68,,Sell
Netflix,361.49,FCFF,210.86,EV/Sales,131.87,,Hold
Netflix,361.04,FCFF,305.58,PS,264.49,,Sell
Netflix,361.04,FCFF,257.6,EV/EBITDA,94.3,,Sell
Netflix,361.04,FCFF,201.74,EV/Sales,148.54,,SELL
Netflix,376.06,FCFF,310.34,PBV,265.42,,Sell
Netflix,361.04,FCFF,98.7,EV/Sales,128.49,,Sell
Netflix,361,FCFF,261.77,EV/Sales,230.95,,Sell
"Netflix, Inc.",361.04,FCFF,288.24,EV/EBITDA,136.37,,Hold
"Netflix, Inc.",361.04,FCFF3,161.86,PBV,102.62,,Sell
NeuroMetrix,0.67,FCFE,0.89,PBV,4.33,,Sell
Newcapec,7.73,FCFE,2.32,PE,12.3,,Sell
NewsCorp,12.03,FCFF,7.83,EV/EBITDA,29.96,,Sell
Nike,82.54,FCFF,75.31,EV/Sales,89.5,,Sell
Nike,83.95,FCFF,45.29,EV/Sales,61.22,,Sell
Nike,83.95,FCFF,59.32,EV/Sales,79.19,,Sell
Nike Inc,82.54,FCFF,67.62,PBV,77.25,,Sell
NINTENDO,706.45,FCFF,143.57,EV/EBITDA,307.4,,Hold
Nintendo,37000,FCFF,40663.32,EV/EBITDA,33627.3,,Buy
Nintendo (Yen) ,37000,FCFF,41431.67,EV/EBITDA,38123.55,,Hold
"Nintendo Co., Ltd.",37000,FCFE,31024.67,PE,27056.376694082835,,Sell
"Nintendo Co., Ltd.",4676,FCFF,4237,PS,3502,,Hold
NIO,4.68,FCFF,6.18,EV/Sales,5.57,,Buy
NIO Inc.,4.58,FCFF,8.05,EV/Sales,4.51,,Buy
Nordstrom,39.37,FCFF,47.62,PBV,56.11,,Buy
"Nordstrom, Inc.",39.37,FCFF,38.35,EV/EBITDA,22.88,,Sell
Norwegian Air Shuttle,38.51,FCFF,0,EV/Sales,0,0.24,Sell
Norwegian Air Shuttle,38.56,FCFF,21.1,PBV,28.34,0.004,Sell
Novo Nordisk,48.28,FCFF,34.99,PE,54.73,,Sell
Nvidia,168.82,FCFF3,183.91,EV/Sales,34.28,,Buy
Nvidia,168.82,FCFF,239.59,EV/Sales,109.8,,Buy
NVIDIA Corp.,168.82,FCFF,175.71,EV/EBITDA,114.84,,Buy
NVIDIA Corporation (NVDA),168.82,FCFF,126.64,PBV,201.62701643999995,,Hold
Occidental Petroleum (NYSE:OXY),57.48,FCFF,58.86,EV/EBITDA,86.29,,Buy
"Old Dominion Freight Lines, Inc.",146.38,FCFF,159.29,EV/EBITDA,141.53,,Buy
Organizacion Soriana,22.93,FCFF,25.09,EV/Sales,42.99,,Hold
Paddy Power Betfair,69.32,FCFF,62.54,EV/EBITDA,78.5,,Sell
PayPal,110.41,FCFF,82.49,PE,75,,Sell
PayPal,110.41,FCFF,76.17,EV/Sales,102.52,88.02,Sell
"Paypal Holdings, Inc.",110.94,FCFF,121.77,PBV,103.4,,Buy
Paypal Inc. ,110.41,FCFF,123.16,PEG,109.38,,Hold
Pepper,5.8,FCFF,5.8,EV/Sales,13.82,,Hold
Pfizer,40.77,FCFF,41.74,EV/EBITDA,40.61,,Hold
PG&E,19.52,FCFF,11.77,EV/Sales,57.76,5.06,Hold
Pinduoduo Inc.,22.4,FCFF,27.62,Other,29.08,,Hold
Pixelworks Inc,3.11,FCFF,1.97,EV/EBITDA,1.45,,Sell
Planet Fitness,78.6,FCFF,63.52,EV/Sales,38.89,,SELL
"Proofpoint, Inc.",118.67,FCFF,111.19,EV/Sales,152.52,,HOLD
Qiwi plc,877.5,FCFF,421.91,EV/Revenue,3790.17,,Hold
Ralph Lauren,124.27,FCFF,145.79,EV/Sales,193.4,,Buy
Raytheon,180.24,FCFF,193.41,EV/EBITDA,186.53,,Buy
"RealNetworks, Inc.",2.19,FCFF,0.74,EV/Sales,2.2,,Sell
Regeneron,336.89,FCFE,370.63,PE,247.48,,Buy
Regenosine,5,FCFF,0.81,EV/Sales,1.15,,Buy
Regis Corporation,19.12,FCFF,17.56,EV/Sales,23.99,,Buy
Republic Services,80.61,FCFF,91.83,EV/EBITDA,90.61,,Buy
Restaurant Brands International,65.66,FCFF,66.59,EV/Sales,69.96,,Hold
Restoration Hardware,101.31,FCFF,103.69,EV/Sales,142.34,,Hold
Roku,82.85,FCFF,43.08,EV/Sales,23.4,,Sell
Roku Inc,82.75,FCFF,54.83,EV/Sales,68.28,,Sell
"Roku, Inc.",64.31,FCFF,75.2,PBV,121.02,,Buy
Running Zone,2000000,FCFF,2000000,EV/EBITDA,1000000,,Buy
S.A.C.I. Falabella (CLP),4651,2Stg - FCFF,3624.22,TEV/Sales,4476.78,,Sell
Safran SA,123.05,FCFF,133.31,PE,79.12,,Buy
Sage Therapeutics,169,FCFF,262.46,EV/Sales,241.91,,Buy
Sales Force,156.9,FCFF,88.41,EV/Sales,37.9,,Sell
Salesforce,159.93,FCFF,191.2,EV/Sales,174.84,,Buy
Salesforce,159.94,FCFF,159.46,EV/Sales,165.59,,Buy
Salesforce,156.07,FCFF,137.67,EV/Sales,132.14,,Hold
Salesforce,159.94,FCFF,131.54,EV/Sales,123.69,,Sell
Salesforce,159.94,FCFF,134.89,EV/EBITDA,40.15,,Buy
Salesforce Inc,153.22,FCFF,179,EV/Sales,171.84,,Hold
Salesforce.com,162.5,FCFF,93.18,EV/Sales,152,,Sell
