Industry,Number of firms,Interest Coverage Ratio,Fixed Charge Coverage ratio
METALS SERVICE CENTERS-WHSL,8,0.3402040919937046,0.8390848823605876
METALWORKING MACHINERY & EQ,10,5.446102243169339,4.69420611967393
"MGMT INVT OFFICES, OPEN-END",79,Negative EBIT,EBITDA Negative
"MILLWORK,VENEER,PLYWOOD",6,3.601570876053273,4.293926562723361
MINERAL ROYALTY TRADERS,8,3.5212152959664738,3.6408573928258967
MISC AMUSEMENT & REC SERVICE,55,1.3681171676878814,1.9668345836403875
MISC BUSINESS CREDIT INSTN,11,0.1473927210772845,0.27298451984726274
MISC BUSINESS SERVICES,9,5.469392766780771,4.322580254024069
MISC CHEMICAL PRODUCTS,21,2.778758600649654,3.066672861050296
MISC DURABLE GOODS-WHSL,4,6.13939488297265,2.9329876840317106
"MISC ELEC MACHY,EQ,SUPPLIES",24,2.3264228677018224,2.700130832436662
MISC EQUIP RENTAL & LEASING,5,1.0713749603387346,1.5392687721670355
MISC FABRICATED METAL PRODS,15,5.6436713825844675,4.771324950718647
MISC FABRICATED TEXTILE PDS,3,0.5765934919178374,1.0521325647029411
"MISC FOOD PREPS, KINDRED PDS",14,15.644328922788091,9.228602437970434
MISC FURNITURE AND FIXTURES,2,7.765161674862168,6.583837607658567
MISC GENERAL MDSE STORES,3,24.1773078408652,8.116688183494166
"MISC HEALTH & ALLIED SVC,NEC",14,4.060548239562723,2.7035670321855916
"MISC INDL, COML, MACHY & EQ",11,4.388614409928172,3.8084439513720265
MISC MANUFACTURNG INDUSTRIES,14,3.7385827664399085,3.4363469623524647
MISC NONDURABLE GOODS-WHSL,9,2.5672253531435256,1.8959922449499151
MISC PDS OF PETROLEUM & COAL,3,8.689555921052634,10.634889240506329
MISC PLASTICS PRODUCTS,7,1.3529576554250617,1.713804611834255
MISC PRIMARY METAL PRODUCTS,3,Negative EBIT,EBITDA Negative
MISC REPAIR SERVICES,2,Negative EBIT,0.2899313076304227
MISC SHOPPING GOODS STORES,18,6.831559499336438,0.9129413030857928
MISC TRANSPORTATION EQUIP,6,6.838230136247134,6.318800745013653
MISCELLANEOUS METAL ORES,4,2.994326439351593,3.646752903907075
MISCELLANEOUS PUBLISHING,7,Negative EBIT,EBITDA Negative
MISCELLANEOUS RETAIL,11,1.7842507584297154,1.7976524588029306
"MNG MACHY, EQ, EX OIL FIELD",1,Negative EBIT,0.31261694500306025
"MNG, QUARRY NONMTL MINERALS",16,2.432030985429044,3.369150682827067
MOBILE HOMES,4,1.0749676809864754,1.7415962627969381
MORTGAGE BANKERS & LOAN CORR,24,1.5014061501540894,1.8557990156598
"MOTION PIC, VIDEOTAPE PRODTN",26,1.1092481629020774,4.763374512682127
"MOTION PICT, VIDEOTAPE DISTR",5,Negative EBIT,2.0701993403126346
MOTION PICTURE THEATERS,5,1.1947806137080585,0.6261814692982456
MOTOR HOMES,6,9.597458940192126,9.817680540732836
"MOTOR VEH PARTS, SUPPLY-WHSL",3,3.7309819696860855,1.139036244554426
"MOTOR VEH SUPLY,NEW PTS-WHSL",7,10.381999145142577,3.969058442888151
"MOTOR VEHICLE PART,ACCESSORY",42,1.898080196231655,2.952540841779216
MOTOR VEHICLES & CAR BODIES,11,0.5979910619447564,2.273967500531653
"MOTORCYCLES,BICYCLES & PARTS",3,20.2555863398181,21.810356929316036
MOTORS AND GENERATORS,12,2.5180908985596786,2.8098174501673983
MULTI-SECTOR HOLDINGS,1,1.4951288864028343,1.8758349892191266
MUSICAL INSTRUMENTS,1,2.020906655460419,2.267895878524946
NATIONAL COMMERCIAL BANKS,170,NMF,NMF
NATURAL GAS DISTRIBUTION,19,2.3212223608139992,3.3163842199103315
NATURAL GAS TRANSMIS & DISTR,12,2.74039553206974,3.8900018753809364
NATURAL GAS TRANSMISSION,11,2.1887688641220877,2.9842541075090048
"NEWSPAPER:PUBG, PUBG & PRINT",16,4.21903773595139,4.628715438135317
NON-OPERATING ESTABLISHMENTS,49,Negative EBIT,EBITDA Negative
NONSTORE RETAILERS,4,Negative EBIT,0.7174258474576272
NURSING & PERSONAL CARE FAC,2,1.389077035195267,0.7931103231227125
OFFICE FURNITURE,1,34.045801526717554,13.628745916773186
"OFFICE FURNITURE, EX WOOD",5,7.474057799560588,4.516569706525102
"OFFICE MACHINES, NEC",7,4.502183182888959,3.759197574959801
OFFICES OF MEDICAL DOCTORS,10,3.0281518679144797,1.9450664463265166
"OIL & GAS FIELD MACHY, EQUIP",18,5.7863411768770945,5.034518907032172
OIL AND GAS FIELD EXPL SVCS,7,0.725885784139146,2.8039594745792296
OIL ROYALTY TRADERS,21,NMF,NMF
"OIL, GAS FIELD SERVICES, NEC",16,4.528069970215867,3.6611835194818916
OPERATIVE BUILDERS,24,3.6142849087964977,3.312533647512045
OPERATORS-APARTMENT BLDGS,7,1.0893853496762052,1.6726359399274986
OPERATORS-NONRES BLDGS,23,1.4801542749813201,1.8283818104653526
OPHTHALMIC GOODS,6,5.5794924378364525,4.912056524353578
OPTICAL INSTRUMENTS & LENSES,13,61.14540182270091,13.484967252849259
ORDNANCE & ACCESSORIES,4,13.681768756795943,16.13085036255768
"ORTHO,PROSTH,SURG APPL,SUPLY",50,6.513014627040806,5.603177355603724
"PAINTS, VARNISHES, LACQUERS",5,4.11650372638334,4.236214855026245
PAPER & PAPER PRODUCTS-WHSL,7,2.739155509894231,2.9145026870531208
PAPER AND ALLIED PRODUCTS,3,1.5744287839552542,2.6005259695979426
PAPER MILLS,14,4.31988781583958,5.920124244743158
"PAPERBOARD CONTAINERS, BOXES",10,2.5662513633155832,3.3868819382245556
PAPERBOARD MILLS,8,1.4829758000287945,2.1934681000310374
"PARTITIONS,SHELVING,LOCKERS",2,7.618792599805258,7.2161987737979985
PATENT OWNERS AND LESSORS,38,5.841898649065268,3.0330065195323126
"PENS,PENCILS,OTH OFFICE MATL",3,3.016470588235294,4.440516174650875
"PERFUME,COSMETIC,TOILET PREP",20,6.997073199224805,4.856772540516139
"PERIODICAL:PUBG,PUBG & PRINT",11,Negative EBIT,1.9991983211902573
PERSONAL CREDIT INSTITUTIONS,17,1.8928409367684407,1.9365059404441392
PERSONAL SERVICES,19,2.193290870088815,1.8728538668702754
PETROLEUM BULK STATIONS-WHSL,7,7.806222276857516,9.428504343742663
PETROLEUM REFINING,30,8.451569951264357,7.218327944180228
"PETROLEUM,EX BULK STATN-WHSL",10,3.344980047586039,3.1807707803204583
PHARMACEUTICAL PREPARATIONS,192,12.602924441298482,11.568626415337567
PHONE COMM EX RADIOTELEPHONE,109,1.7495299335687953,3.8182534314121686
"PHONO RECRDS,AUDIO TAPE,DISK",4,1.937442289935365,4.485314685314686
PHOTOFINISHING LABORATORIES,3,Negative EBIT,EBITDA Negative
PHOTOGRAPHIC EQUIP & SUPPL,23,3.4142548487589184,4.769526474526809
"PIPE LINES, EX NATURAL GAS",7,2.4778738130266147,3.26135050986452
"PLASTIC MATL,SYNTHETIC RESIN",10,2.872557209180745,3.9145668619532445
"PLASTIC,FOIL,COATD PAPR BAGS",1,3.710280373831776,3.9047619047619047
PLASTICS FOAM PRODUCTS,4,1.4435523808094601,1.4140506230788863
"PLASTICS PRODUCTS, NEC",34,3.622984769248767,3.6491227799442294
"PLASTICS,RESINS,ELASTOMERS",14,1.6515344268150127,2.6269042549810924
POTTERY AND RELATED PRODUCTS,1,5.233655486071632,2.9404395296752517
POULTRY SLAUGHTER & PROCESS,5,2.1781447561356697,2.6588520487466365
PREFAB METAL BLDGS & COMP,3,2.207955936352509,2.1374030354131537
PREFAB WOOD BLDGS & COMPONTS,5,3.864796654167868,2.9880883543425463
PREPACKAGED SOFTWARE,428,Negative EBIT,3.915411099637535
PRIM PRODUCTION OF ALUMINUM,2,0.900536462950997,1.8270294613654947
"PRIM SMELT,REFIN NONFER METL",6,Negative EBIT,1.754285496504493
PRINTED CIRCUIT BOARDS,21,1.7456435130977581,2.3949670429743097
"PRINTING TRADES MACHY, EQUIP",7,0.45542041248016923,2.074057114311881
PROF & COML EQ & SUPPLY-WHSL,7,2.417183487274674,2.2266953831054646
PUBLIC BLDG & REL FURNITURE,6,3.3350304018244925,3.2130839708990653
PUBLIC WAREHOUSING,3,1.3767698001480386,1.333306787376442
PULP MILLS,2,1.6415854460655344,3.182679083951208
PUMPS AND PUMPING EQUIPMENT,6,4.336704476412364,4.438312625391574
"PWR,DISTR,SPECL TRANSFORMERS",6,3.389953418286402,3.5295423339719205
"RACING,INCL TRACK OPERATIONS",9,4.28078398908143,5.072799540273919
RADIO BROADCASTING STATIONS,17,Negative EBIT,1.2013887927850055
"RADIO,TV BROADCAST, COMM EQ",87,1.8062445138506131,2.6937325942682424
"RADIO,TV,CONS ELECTR STORES",10,19.896338908580294,1.8248525807948666
RADIOTELEPHONE COMMUNICATION,44,Negative EBIT,3.0776306378133493
RAILROAD EQUIPMENT,4,1.8793620940627858,2.696923278477058
"RAILROADS,LINE-HAUL OPERATNG",12,2.790487407675725,1.8757152279680873
REAL ESTATE,5,2.2114038938814273,2.363647301478171
REAL ESTATE AGENTS & MGRS,10,2.873283075681042,1.6982806257329701
REAL ESTATE DEALERS,5,0.502484672474992,0.4745339860666541
REAL ESTATE INVESTMENT TRUST,182,0.19624507988856654,0.19445346313256567
"REAL ESTATE OPERATORS,LESSOR",4,0.7193016332047547,1.0419136381624878
RECORD AND TAPE STORES,3,7.220283975659229,0.7649844178174198
REFRIG & SERVICE IND MACHINE,17,1.1291650170789866,1.703426124197002
REFUSE SYSTEMS,13,2.1645898353384894,3.1828854283611667
