Name,Total Ret 1 Yr (Daily) Base Currency,Total Ret Annlzd 2 Yr (Daily) Base Currency,Total Ret Annlzd 3 Yr (Daily) Base Currency,Total Ret Annlzd 5 Yr (Daily) Base Currency,Alpha 2009-06-01 to 2012-05-31 Base Currency,Appraisal Ratio 2009-06-01 to 2012-05-31 Base Currency,Excess Return 2009-06-01 to 2012-05-31 Base Currency,Excess Return (geo) 2009-06-01 to 2012-05-31 Base Currency,Information Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency,M-Squared 2009-06-01 to 2012-05-31 Base Currency,Sharpe Ratio 2009-06-01 to 2012-05-31 Base Currency,Treynor Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency
DWS Global Income Builder Instl,2.84308,6.94216,10.24773,0.72126,-0.6570936860406782,-0.07584291789223974,-5.7205571672424895,-4.977997464063799,-0.9518229397752324,13.858041854152528,0.857974753005815,13.819566130099531
DWS Global Income Builder C,1.75275,5.68819,8.96503,-0.4083,-1.7777585953620285,-0.20690501460104055,-6.95439562082989,-6.0516769175606555,-1.1538270506658679,12.196498094846355,0.7543519739749615,11.976520742407807
DWS Global Income Builder A,2.47978,6.55796,9.87118,0.40484,-1.0472854016797912,-0.12334357102027489,-6.103333019958024,-5.311086911195629,-1.0255041296754177,13.303010836236,0.8233600423172138,13.18533203217216
T. Rowe Price Personal Strat Income,3.98445,8.02218,10.88894,3.87393,1.3967654435917205,0.17172314046195739,-4.635941070995141,-4.034170487293165,-0.6510475468512708,17.11601650356234,1.0611595233695463,17.551179712699852
MainStay Income Builder A Load Waived,6.03025,11.51204,13.48851,2.39226,2.355595691092499,0.22217777492544952,-2.5141098458887576,-2.187764595532371,-0.3967327764229894,18.103713441788482,1.1227576010644706,18.855227456112566
MainStay Income Builder Inv,5.6734,11.17574,13.11303,,1.9958495525561357,0.1879896813748991,-2.88598541202283,-2.5113686730797724,-0.45718128848852463,17.56749679239228,1.089316255290797,18.232804956281157
MainStay Income Builder B,4.89447,10.34757,12.26307,1.40276,1.270759933003197,0.11979219247817793,-3.701277475828091,-3.2208313543259592,-0.585314347509252,16.504437567846693,1.0230181812829253,17.009301035637886
MainStay Income Builder A,6.03025,11.51204,13.48851,2.39226,2.355595691092499,0.22217777492544952,-2.5141098458887576,-2.187764595532371,-0.3967327764229894,18.103713441788482,1.1227576010644706,18.855227456112566
MainStay Income Builder C,4.83828,10.32865,12.25683,1.38879,1.2309479405253119,0.11569465307311401,-3.7381583554893396,-3.2529248934793475,-0.5913982644072029,16.441740117642116,1.0191080320665966,16.939997459014272
MainStay Income Builder I,6.32194,11.82045,13.77137,2.70389,2.5960362542890913,0.24593122077741814,-2.2199846303157855,-1.9318184465062505,-0.351999155225606,18.457653645786994,1.1448312102268248,19.25587255708634
