Company Name,Exchange:Ticker,Market Cap Class,"Market Capitalization [Latest] ($USDmm, Historical rate)",Enterprise Value,Invested Capital including capitalized R&D,Adjusted Net Income,Adjusted EBIT,Total Debt including leases,PE,Non-cash PE,EV/Sales,EV/EBIT,EV/Invested Capital,EV/EBITDA,Capitalized R&D,EV/EBITDAR&D,Only +Taxable Income,Missing Taxable Income,Only +'ve Taxes,Operating Margin,Net Margin,Pre-tax ROIC,ROE,Only +ve Net Income,Only +'ve Mkt Cap,Capitalized leases,Turnover Ratio,Coefficient of variation in operatingincome,Coefficient of variation in net income
"Sungchang Autotech Co., Ltd. (KOSDAQ:A080470)",KOSDAQ:A080470,6,26.4,44.96999999999999,63.380399999999995,1.0674000000000001,1.2374,23.7,16.708860759493668,13.766990291262134,0.3686065573770491,36.34233069338936,0.7095253422193611,7.348039215686273,3.2104,6.4059829059829045,2.68,1,0.275,0.010142622950819673,0.008749180327868854,0.019523385778568773,0.016841168563152018,1.58,26.4,0,2.556818181818182,0.7157946879560796,0.6109491120952906
UQM Technologies Inc. (AMEX:UQM),AMEX:UQM,6,25.5,19.87,28.884,-7.566000000000001,-8.446000000000002,0,NA,-2.875958894195976,5.31283422459893,NA,0.6879241102340397,NA,14.214,NA,NA,1,NA,-2.2582887700534764,-2.022994652406417,-0.29241102340396075,-0.26194432904029913,NA,NA,0,0.3333333333333333,0.6322118636544808,0.4808397732590094
Orient Precision Industries Inc. (KOSDAQ:A065500),KOSDAQ:A065500,6,25.2,40.852000000000004,28.232999999999997,0.32999999999999996,0.753,15.9,82.3529411764706,1467.7647058823516,0.9180224719101124,54.2523240371846,1.4469592321042755,15.533079847908747,0.081,15.300374531835208,0.306,1,0,0.016921348314606743,0.007415730337078651,0.026670917012007227,0.01168844968653703,0.306,25.2,0,2.4404761904761907,18.82694553083461,3.8426355833060217
"TPC Co., Ltd. (KOSDAQ:A130740)",KOSDAQ:A130740,6,25.1,25.97,44.346000000000004,2.9279999999999995,1.948,4.13,8.595890410958905,9.369369369369371,0.5849099099099099,13.331622176591376,0.5856221530690479,9.08041958041958,3.5759999999999996,6.4282178217821775,3.97,1,1.06,0.04387387387387388,0.06594594594594594,0.04392729896721237,0.06602624813962926,2.92,25.1,0,0.6274900398406374,0.28535689354952987,0.26261686406410484
"Dgenx Co., Ltd. (KOSDAQ:A113810)",KOSDAQ:A113810,6,24.9,58.10999999999999,63.668,-3.25,-3.7399999999999998,39.2,NA,-5.911222256955297,0.8048476454293627,NA,0.9127033988816987,NA,5.658,NA,NA,1,NA,-0.051800554016620495,-0.045013850415512466,-0.05874222529371113,-0.05104605139159389,NA,NA,0,3.022088353413655,2.2253782404620455,2.565860967885394
"Daesung Fine Tech Co., Ltd. (KOSDAQ:A104040)",KOSDAQ:A104040,6,24.6,27.53,34.0866,3.1322,3.7122,9.75,8.200000000000001,6.173611111111112,0.7360962566844921,7.416087495285814,0.8076487534691053,5.2942307692307695,1.1566,4.8803403651834785,3.47,1,0.487,0.09925668449197862,0.08374866310160428,0.1089049655876503,0.09188948149712792,3,24.6,0,1.0467479674796747,0.4608396600057309,0.4488447078245687
"DUAL Industrial. Co., Ltd. (KOSDAQ:A078590)",KOSDAQ:A078590,6,24.5,22.62,10.575999999999999,0.9007999999999999,0.8338,0,29.411764705882355,27.652811735941324,0.6575581395348837,27.128807867594148,2.1388048411497733,15.929577464788734,2.3560000000000003,10.129870129870131,0.833,1,0,0.024238372093023257,0.026186046511627908,0.07883888048411498,0.08517397881996974,0.833,24.5,0,1.653061224489796,4.877971870969509,3.092212649462445
Sao Vang Rubber Joint Stock Company (HOSE:SRC),HOSE:SRC,6,24.3,24.3,0,0,0,0,NA,#DIV/0!,0.39256865912762523,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,0,4.516460905349794,#DIV/0!,#DIV/0!
"HKS Co., Ltd. (JASDAQ:7219)",JASDAQ:7219,6,24.1,20.98,85.58800000000002,0.854000000000001,1.1540000000000017,8.18,15.64935064935065,9.44649446494465,0.3773381294964029,18.180242634315398,0.24512782165724162,3.7198581560283692,22.308000000000003,1.6506687647521636,2.78,1,0.967,0.020755395683453266,0.015359712230215844,0.013483198579240097,0.009978034303874384,1.54,24.1,0,0.07261410788381742,0.7123961051333506,1.286373860704383
"EMAV Holdings, Inc. (OTCPK:EMAV)",OTCPK:EMAV,6,22.9,22.985,0.0019999999999999983,-3.64,-3.61,0.096,NA,-6.288186813186813,NA,NA,11492.50000000001,NA,0,NA,NA,1,NA,NA,NA,-1805.0000000000014,-1820.0000000000016,NA,NA,0,False,1.6766743138035334,1.662290813144237
"Hwashin Tech Co., Ltd. (KOSDAQ:A086250)",KOSDAQ:A086250,6,22.2,44.85999999999999,70.16000000000001,-3.21,-5.18,23.4,NA,-6.396423248882265,0.9902869757174392,NA,0.6393956670467501,NA,0,NA,NA,1,NA,-0.11434878587196468,-0.07086092715231788,-0.07383124287343214,-0.04575256556442417,NA,NA,0,0.20270270270270271,2.047522520869491,1.1398464724456625
JICO Co. Ltd. (KOSE:A010580),KOSE:A010580,6,21.9,51.213,43.013,-1.18,-0.312,29.8,NA,-16.980967486122125,0.6417669172932331,NA,1.1906400390579592,22.074568965517244,0,22.074568965517244,NA,1,NA,-0.003909774436090226,-0.014786967418546366,-0.007253620998302839,-0.02743356659614535,NA,NA,0,5.970319634703197,4.980214559816713,13.393891952057446
"ikuyo Co.,Ltd. (TSE:7273)",TSE:7273,6,21.7,30.389999999999997,30.4082,8.8236,7.1735999999999995,17.1,2.511574074074074,1.5558417232498243,0.3430022573363431,4.236366677818668,0.9994014772331147,NA,0.21820000000000003,NA,7.99,1,-0.654,0.08096613995485327,0.09958916478555306,0.23591005057846237,0.29017172999388324,8.64,21.7,0,0.5414746543778802,1.73915286684609,3.4616718634397774
Daedong Gear Co. Ltd. (KOSDAQ:A008830),KOSDAQ:A008830,6,21.7,58.29,82.0998,0.1644,0.3334,38.3,125.4335260115607,131.51315789473682,0.5232495511669658,174.83503299340134,0.7099895493046268,15.96986301369863,0.1098,15.835370823145883,0.188,1,0.016,0.0029928186714542186,0.0014757630161579892,0.004060911232426875,0.0020024409316466056,0.173,21.7,0,0.02304147465437788,8.291349233568246,8.409051711873557
"Pusan Cast Iron Co., Ltd. (KOSE:A005030)",KOSE:A005030,6,21,171.26500000000001,190.565,-1.1,3.21,150.4,NA,-12.539062499999998,0.9627037661607645,53.35358255451714,0.8987222207645686,12.877067669172932,0,12.877067669172932,NA,1,NA,0.018043844856661044,-0.006183249016301293,0.01684464618371684,-0.005772308661086769,NA,NA,0,1.7142857142857142,0.5214753985554522,2.1739762346962133
"Eiken Industries Co., Ltd. (JASDAQ:7265)",JASDAQ:7265,6,20.3,15.45,28.845399999999998,1.7207999999999997,2.6608,3.15,8.903508771929825,5.593451568894953,0.3635294117647059,5.806524353577871,0.5356139973791315,NA,1.6954,NA,3.54,1,1.26,0.06260705882352942,0.04048941176470587,0.09224347729620669,0.05965595900906209,2.28,20.3,0,0.11083743842364531,0.302515632037224,0.3224426575342182
"Kwang Jin Wintec Co.,Ltd. (KOSDAQ:A090150)",KOSDAQ:A090150,6,19.6,40.3,56.8,-0.041,1.55,35,NA,-30.113636363636363,0.49086479902557856,25.999999999999996,0.7095070422535211,11.994047619047619,0,11.994047619047619,0.305,1,0.346,0.018879415347137638,-0.0004993909866017053,0.0272887323943662,-0.000721830985915493,NA,NA,0,2.346938775510204,0.23095258352417902,0.3732945318186842
