Company Name,Exchange:Ticker,Geographic Region,Trailing PE,Expected growth rate,Emerging Market Dummy,ROE,Debt/Equity Ratio,Payout Ratio,"Market Capitalization [Latest] ($USDmm, Historical rate)"
China Mengniu Dairy Co. Ltd. (SEHK:2319),SEHK:2319,Asia / Pacific,36.28822733423546,0.258,1,0.115,0.0158481560204348,0.213,8045.1
Biostime International Holdings Limited (China) (SEHK:1112),SEHK:1112,Asia / Pacific,36.31971153846154,0.314,1,0.371,0.009574867077018113,0.39299999999999996,4532.7
Charoen Pokphand Foods Public Co. Ltd. (SET:CPF),SET:CPF,Asia / Pacific,36.4225352112676,0.28,1,0.06,0.7697054653261151,1.605,6206.4
Alico Inc. (NasdaqGS:ALCO),NasdaqGS:ALCO,United States and Canada,38.25033647375505,0.08,0,0.056900000000000006,0.14039408866995073,0.19699999999999998,284.2
BRF S.A. (BOVESPA:BRFS3),BOVESPA:BRFS3,Latin America and Caribbean,38.39724037763254,0.264,1,0.08529999999999999,0.21970098159741266,0.262,21149.2
ARYZTA AG (SWX:ARYN),SWX:ARYN,Europe,38.48894062863795,0.327,0,0.0591,0.3028401185651201,0.336,6612.4
GlaxoSmithKline Consumer Healthcare Limited (BSE:500676),BSE:500676,Asia / Pacific,39.12155388471178,0.22,1,0.314,0,0,3121.9
PT Nippon Indosari Corpindo Tbk (JKSE:ROTI),JKSE:ROTI,Asia / Pacific,39.12987012987013,0.3,1,0.23600000000000002,0.05210753401924991,0.244,602.6
"Campofrio Food Group, S.A. (CATS:CFG)",CATS:CFG,Europe,39.45631067961165,0.43799999999999994,0,0.0341,0.9768700787401575,0,812.8
Lotte Confectionery Co. Ltd. (KOSE:A004990),KOSE:A004990,Asia / Pacific,39.532125205930804,0.126,1,0.025,0.13077179529921654,0.11699999999999999,2399.6
Hefei Fengle Seed Co. Ltd. (SZSE:000713),SZSE:000713,Asia / Pacific,39.57843137254902,0.36,1,0.0521,0.11939559078523657,0.426,403.7
"Gansu Yasheng Industrial (Group) Co., Ltd. (SHSE:600108)",SHSE:600108,Asia / Pacific,39.800261096605745,0.82,1,0.11199999999999999,0.045527601928690924,0.127,3048.7
D.E Master Blenders 1753 N.V. (ENXTAM:DE),ENXTAM:DE,Europe,39.992949471210345,0.1,0,0.5720000000000001,0.06862745098039216,0,10210.2
"Shanghai Bairun Flavor & Fragrance Co., Ltd. (SZSE:002568)",SZSE:002568,Asia / Pacific,40.28938906752411,0.444,1,0.08789999999999999,0,0.8370000000000001,375.9
Lifeway Foods Inc. (NasdaqGM:LWAY),NasdaqGM:LWAY,United States and Canada,40.608000000000004,0.13,0,0.159,0.021670606776989756,0.209,253.8
Tingyi Cayman Islands Holding Corp. (SEHK:322),SEHK:322,Asia / Pacific,41.511092851273624,0.157,1,0.12300000000000001,0.09794994622485269,0.574,15155.7
Orion Corporation (KOSE:A001800),KOSE:A001800,Asia / Pacific,42.1611253196931,0.222,1,0.127,0.18582549792740877,0.158,4945.5
B&G Foods Inc. (NYSE:BGS),NYSE:BGS,United States and Canada,42.25986078886311,0.109,0,0.145,0.3501152959262106,0,1821.4
China Modern Dairy Holdings Ltd. (SEHK:1117),SEHK:1117,Asia / Pacific,42.45351043643264,0.441,1,0.0643,0.3114021365038216,0,2237.3
Rocky Mountain Chocolate Factory Inc. (NasdaqGM:RMCF),NasdaqGM:RMCF,United States and Canada,43.40782122905028,0.1,0,0.0983,0,1.4869999999999999,77.7
Yakult Honsha Co. Ltd. (TSE:2267),TSE:2267,Asia / Pacific,45.18290155440414,0.22,1,0.07919999999999999,0.08623556529018497,0.423,8720.3
Hop Hing Group Holdings Limited (SEHK:47),SEHK:47,Asia / Pacific,45.88621444201313,0.18,1,0.223,0.04601812112541727,0,419.4
"Beijing Shunxin Agriculture Co., Ltd. (SZSE:000860)",SZSE:000860,Asia / Pacific,46.34745762711864,0.465,1,0.0495,1.2460230389467912,3.775,1093.8
Nestle India Ltd. (BSE:500790),BSE:500790,Asia / Pacific,47.53062330623306,0.145,1,0.529,0.02182589458799918,0,8769.4
Synlait Milk Limited (NZSE:SML),NZSE:SML,Asia / Pacific,48.700873362445414,0.25,1,0.09210000000000002,0.19233355749831874,0,446.1
"Inner Mongolia Yili Industrial Group Co., Ltd (SHSE:600887)",SHSE:600887,Asia / Pacific,51.2120582120582,0.312,1,0.183,0.028058566421737777,0.27899999999999997,14779.8
"Post Holdings, Inc. (NYSE:POST)",NYSE:POST,United States and Canada,52.48327137546468,0.08,0,0.0194,0.6697832554186146,0.07440000000000001,1411.8
"Chuying Agro-pastoral Group Co., Ltd (SZSE:002477)",SZSE:002477,Asia / Pacific,55.15079365079365,0.35,1,0.0728,0.21132537055691467,0.5489999999999999,1389.8
"Sanquan Food Co., Ltd. (SZSE:002216)",SZSE:002216,Asia / Pacific,57.439516129032256,0.248,1,0.0897,0.003376623376623376,0.131,1424.5
Limoneira Company (NasdaqGS:LMNR),NasdaqGS:LMNR,United States and Canada,58.107667210440454,0.35,0,0.0819,0.2624929814710837,0.34299999999999997,356.2
