Company Name,Exchange:Ticker,Company Type,Industry Classifications,"Market Capitalization [Latest] ($USDmm, Historical rate)","Net Income [LTM] ($USDmm, Historical rate)",LT EPS Growth Rate - Capital IQ [Latest] (%),"Total Debt [Latest Annual] ($USDmm, Historical rate)",Return on Equity % [LTM],Payout Ratio [LTM] (%),2 Year Beta [Latest],"Basic EPS [LTM] ($USD, Historical rate)","Basic EPS Excl. Extra Items [LTM] ($USD, Historical rate)",Weighted Avg Shares Outstanding [LTM],Weighted Avg. Diluted Shares Out. [LTM],Geographic Region,"Day Close Price [Latest] ($USD, Historical rate)"
"Flowers Foods, Inc. (NYSE:FLO)",NYSE:FLO,Public Company,Food Products (Primary),5218.4,229.5,9.73,624.7,25.5,39.2,0.398,1.11,1.11,207,210.3,United States and Canada,25.05
Associated British Foods plc (LSE:ABF),LSE:ABF,Public Company,Food Products (Primary),27402,919.1,9.52,2359.6,10.2,36.8,0.359,1.16,1.16,789.3,789.3,Europe,34.73
Grupo Nutresa SA (BVC:NUTRESA),BVC:NUTRESA,Public Company,Food Products (Primary),6719,194.4,9.5,390,-,0,0.198,0.425,0.425,457.3,457.3,Latin America and Caribbean,14.6
Nippon Meat Packers Inc. (TSE:2282),TSE:2282,Public Company,Food Products (Primary),2899.6,178.7,9.5,1590.5,6.11,27.3,0.419,0.876,0.876,204,227.1,Asia / Pacific,14.57
"Vilmorin & Cie, SA (ENXTPA:RIN)",ENXTPA:RIN,Public Company,Food Products (Primary),2276.3,129.2,9.36,-,-,0,0.449,0,0,0,0,Europe,120.19
Wilmar International Limited (SGX:F34),SGX:F34,Public Company,Food Products (Primary),17926.2,1416.4,9.18,22245.3,9.95,18.2,0.373,0.221,0.221,6398.7,6399.4,Asia / Pacific,2.8
PT Salim Ivomas Pratama (JKSE:SIMP),JKSE:SIMP,Public Company,Food Products (Primary),1147.3,58.3,9,739.1,4.68,0,0.386,0.004,0.004,15816.3,15816.3,Asia / Pacific,0.073
Cranswick plc (LSE:CWK),LSE:CWK,Public Company,Food Products (Primary),843.4,55,9,44.2,14,31.5,0.316,1.14,1.14,48.3,48.4,Europe,17.31
Viscofan SA (CATS:VIS),CATS:VIS,Public Company,Food Products (Primary),2768.5,139.6,8.98,168.7,21.8,47.5,0.236,3,3,46.6,46.6,Europe,59.41
Goodman Fielder Ltd. (ASX:GFF),ASX:GFF,Public Company,Food Products (Primary),1375.1,93.8,8.98,789.2,6.2,0,0.652,0.048,0.039,1955.6,1969.7,Asia / Pacific,0.703
Bonduelle SA (ENXTPA:BON),ENXTPA:BON,Public Company,Food Products (Primary),749.9,67.7,8.95,825.6,10.2,21.5,0.393,2.26,2.26,30,30,Europe,24.99
The J. M. Smucker Company (NYSE:SJM),NYSE:SJM,Public Company,Food Products (Primary),11795.1,559.9,8.94,2017.8,10.9,40.3,0.507,5.2,5.2,106.8,106.8,United States and Canada,112.2
"ConAgra Foods, Inc. (NYSE:CAG)",NYSE:CAG,Public Company,Food Products (Primary),13584.5,668.1,8.92,9694.3,13.4,61,0.539,1.61,1.61,414.3,421.7,United States and Canada,32.2
Origin Enterprises Plc (ISE:OIZ),ISE:OIZ,Public Company,Food Products (Primary),1374.8,96.9,8.9,208.6,28.2,28.4,0.201,0.701,0.701,138.2,138.5,Europe,9.93
Presco Plc (NGSE:PRESCO),NGSE:PRESCO,Public Company,Food Products (Primary),217.4,15.1,8.9,13.3,-,0,-0.094,0,0,0,0,Africa / Middle East,0.217
"McCormick & Company, Incorporated (NYSE:MKC)",NYSE:MKC,Public Company,Food Products (Primary),9175.5,407.5,8.77,1171.9,23.1,43.2,0.542,3.08,3.08,132.3,133.9,United States and Canada,69.61
"Tyson Foods, Inc. (NYSE:TSN)",NYSE:TSN,Public Company,Food Products (Primary),10013.4,702,8.5,2432,12.4,14.2,0.741,1.98,2.13,355.5,364.8,United States and Canada,28.43
Lancaster Colony Corporation (NasdaqGS:LANC),NasdaqGS:LANC,Public Company,Food Products (Primary),2358.4,109.2,8.5,0,20.5,38,0.778,4,4,27.3,27.3,United States and Canada,86.44
NongShim Co. Ltd. (KOSE:A004370),KOSE:A004370,Public Company,Food Products (Primary),1394.5,84.6,8.5,96.5,7.2,23.9,0.593,14.6,14.6,5.78,5.78,Asia / Pacific,241.15
Bongrain SA (ENXTPA:BH),ENXTPA:BH,Public Company,Food Products (Primary),1033.8,67,8.4,1083.3,5.2,35.3,0.204,4.77,4.77,14.1,14.5,Europe,73.76
PT Indofood Sukses Makmur Tbk (JKSE:INDF),JKSE:INDF,Public Company,Food Products (Primary),5961,330.6,8.1,1590.1,13,46.8,0.534,0.038,0.038,8780.4,8780.4,Asia / Pacific,0.679
KWS SAAT AG (DB:KWS),DB:KWS,Public Company,Food Products (Primary),2384,116.5,8.1,56.1,14.2,20.3,0.345,17.7,17.7,6.6,6.6,Europe,361.2
Greencore Group plc (LSE:GNC),LSE:GNC,Public Company,Food Products (Primary),1166.1,62.1,8,479.9,20.8,24.3,0.368,0.159,0.159,389.6,396,Europe,2.89
"Post Holdings, Inc. (NYSE:POST)",NYSE:POST,Public Company,Food Products (Primary),1411.8,26.9,8,945.6,1.94,7.44,0.721,0.721,0.721,33,33.3,United States and Canada,43.19
Alico Inc. (NasdaqGS:ALCO),NasdaqGS:ALCO,Public Company,Food Products (Primary),284.2,7.43,8,39.9,5.69,19.7,0.971,1.01,1.01,7.33,7.35,United States and Canada,38.91
Toyo Suisan Kaisha Ltd. (TSE:2875),TSE:2875,Public Company,Food Products (Primary),3230,205.9,7.85,2.25,10.3,21,0.242,2.02,2.02,102.2,102.2,Asia / Pacific,31.62
Ingredion Incorporated (NYSE:INGR),NYSE:INGR,Public Company,Food Products (Primary),5388.1,430.5,7.8,1800,18.3,21.1,0.916,5.59,5.59,77,78.7,United States and Canada,69.49
Kellogg Company (NYSE:K),NYSE:K,Public Company,Food Products (Primary),22996.8,949,7.47,7902,39.8,67,0.38,2.63,2.63,361.5,363.5,United States and Canada,63.45
Devro plc (LSE:DVO),LSE:DVO,Public Company,Food Products (Primary),835.7,47.8,7.38,51.5,21.3,44.6,0.432,0.287,0.287,165.9,166.9,Europe,5.03
"General Mills, Inc. (NYSE:GIS)",NYSE:GIS,Public Company,Food Products (Primary),32157.1,1765.6,7.36,7969.1,22.2,50.8,0.429,2.73,2.73,646.8,663.8,United States and Canada,50.7
"Kraft Foods Group, Inc. (NasdaqGS:KRFT)",NasdaqGS:KRFT,Public Company,Food Products (Primary),33059.6,1841,7.25,9971,24.1,32.3,0.948,3.1,3.1,592,599.5,United States and Canada,55.51
TS Corporation (KOSE:A001790),KOSE:A001790,Public Company,Food Products (Primary),176.8,16.9,7.2,443.3,4.39,23.7,0.162,2.5,2.5,6.75,6.75,Asia / Pacific,26.56
Almarai Company (SASE:2280),SASE:2280,Public Company,Food Products (Primary),8878.8,399.4,7,2307.6,16.3,33,-0.062,0.666,0.666,599.5,599.5,Africa / Middle East,14.8
Unilever plc (LSE:ULVR),LSE:ULVR,Public Company,Food Products (Primary),115415.5,6219,6.87,13476.2,37.2,59,0.467,2.19,2.19,2833.8,2920.3,Europe,40.66
Tate & Lyle plc (LSE:TATE),LSE:TATE,Public Company,Food Products (Primary),5941.3,420.6,6.66,1375.7,24.8,42.2,0.192,0.907,0.847,464.2,473.5,Europe,12.83
Dangote Sugar Refinery Plc (NGSE:DANGSUGAR),NGSE:DANGSUGAR,Public Company,Food Products (Primary),835.5,70.5,6.6,0,-,0,-0.149,0,0,0,0,Africa / Middle East,0.07
Nestlé S.A. (SWX:NESN),SWX:NESN,Public Company,Food Products (Primary),233850.2,11405.1,6.59,30401.7,18.6,60.7,0.259,3.57,3.57,3193.4,3193.4,Europe,73.31
Indofood Agri Resources Ltd. (SGX:5JS),SGX:5JS,Public Company,Food Products (Primary),1012.8,59.6,6.43,739.1,4.44,16.2,0.615,0.041,0.041,1437.2,1437.4,Asia / Pacific,0.715
PT Charoen Pokphand Indonesia Tbk (JKSE:CPIN),JKSE:CPIN,Public Company,Food Products (Primary),5947.6,254.4,6.4,201,31.2,0,0.969,0.016,0.016,16398,16398,Asia / Pacific,0.363
