Company,Power,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
,,Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
SunPower,0,B,-0.109,0.1253,0,25
SunPower,0,B,0.0332,0.27,0,62.29
SunPower,2,B,-0.042,0.2009,0,43.68
Suzlon Energy Ltd.,0,B,-0.0356,0.5646,7.42,6.16
Take-Two,2,B,0.1115,15.25,0,29.5
Target,2,B,0.075,0.41088115880279014,465,43.66717
Tesco,1,B,0.1173,0.2996,915,5.59
Teva,1,B,-0.04258154886657204,0.17653847304193254,784.6555555555556,40.42369578935547
Teva Pharmaceutical Industries Ltd.,1,R,0.05570502261918436,0.15784606540550172,388,41.78172149936789
The Campbell Soup Company (NYSE CPB),1,B,0.6293,0.24,315.2,40.15
The Coca-Cola Company,0,B,0.2022,0.0892,2389.7,44.15
The Estee Lauder Companies (NYSE EL),1,B,0.3166,0.2689,308.75,45.08
The Knot,1,B,-0.0535,0.0157,0,12.22
Tiffany,1,B,0.0424,0.433,314.99,62.65
Tim Horton,0,B,0.1203,0.2078,66.1,26.03
Time Warner,2,B,-0.3957,0.6139,5096,42.71
Time Warner,1,B,-0.0381,0.61,5149000000,43.16
Time Warner,1,B,-0.4238,0.4797,2861.1,30.25
TiVo,0,B,0.4967,0.0038,0,79.72
TiVo,1,B,0.2012,0.3,0,18.72
Tootsie Roll,0,B,0.0151,0.0074,17.557,22.22
TransCanada,0,B,0.0173,0.514,393,18.03
TSIH,2,B,107.2347,0.93,0.92,12.64
Tyson,0,B,-0.0304,0.343,59,10.6
U.S. Steel,0,B,0.257,0.4308,162,249.72
Under Armour,0,B,0.0584,0.0874,3,47.47
UNFI,2,B,0.03076682532003923,0.2971,0,17.45
Union Pacific Corp.,2,B,0.038,0.35683539565419753,591.1,68.4
"United Parcel Service, Inc.",2,B,0.262,0.172969716783932,3438,44.78
Vaalco,1,B,0.1059,0.1289,0,13.54
Vale,1,BBB,0.6543,0.1843393148450245,2923.31,50.03
Valero,2,B,0.1118,0.4057,2116.2,94.59
Valero,1,B,-0.2032,0.41683197973812103,1109,25.79301067910873
Verizon,2,B,0.02,0.366,5536.1,43.76
Verizon,1,B,-0.007,0.3962272561561789,6362,48.89
Vestas,2,B,0.185,0.0156,0,100.10532121668699
Vestas,1,B,0.1781,0.0381,7.27,50.56
Viacom,0,B,0.0989,0.43,857,17.35
Viacom,0,B,0.0356,0.4463,0,39.34
Viacom,1,B,0.0637,0.4288,0,27.69
Viacom,0,B,0.051,0.2528,2858,76.28
Viacom,0,B,0.0926,0.4202,0,35.9
Visa,1,R,-0.0259,0.0049,1241,76.08
Vodafone,1,B,-0.078,0.3452,3658,1.4
Walmart,0,B,0.1091,0.23,5495.75,88.95
Wal-Mart,1,B,0.1588,0.1833,7183000000,64.68
Wal-Mart,2,R,0.137,0.246,5348,29.94
Watsco,0,B,0.018768419496661443,0.0176,54,40.95
WebMD,0,B,-0.042,0.0395,0,21.91
WebMD,0,B,-0.0519536146636805,0.0243750502972762,2.4994,20.207585649991227
WebMD Health Corp,0,B,-0.07563519721873566,0.09937964179029117,0,7.52
Whirlpool,0,B,0.0392,0.4388,128,86.85
Whole Foods,2,B,-0.056679466762176736,0.5589,109.1,16.15
Whole Foods,1,B,0.0883,0.5986,109,14.64
Whole Foods,6,B,-3.73,0.491,60.37,15.58
Whole Foods,0,B,-2.25,0.5753,109.1,13.76
Whole Foods,1,B,0.0097,0.5263,60.08,12.3
Whole Foods,1,B,-0.014,0.6553,273.7,0.53
Whole Foods,2,B,-0.0067,0.5503,135.16,19.16
Whole Foods Market,0,B,-0.0029235233159319446,0.4505020252882852,109.1,19.11
Whole Foods Market,1,B,-0.0022606744248084565,0.495925153290735,60.08,22.737854620554984
Whole Foods Market Inc.,2,B,-0.04542559973384963,0.5839003111536542,109.072,19.282070487755302
Willamette Valley Vineyards,1,B,-0.043,0.2539,-2.1,4.23
Willamette Valley Vineyards (WVVI),0,B,-0.0432,0.2409,0,0.63
Wimm-bill-dann,0,B,0.0195,0.3463,3.28,48.08
WSM,1,B,-0.1329,0.4611,136.58,32.39
WWE,0,B,0.066,0.014,60.4,12.1
Wyndham,1,B,-0.4885,0.6919,291.5,33.27
Wynn,0,B,0.010599999999999998,0.4571,360.5,21.05
Wynn,1,B,-0.0153,0.51,0,39.16
Wynn,1,B,-0.05337266888051665,0.526472491642447,940.1,43.49207686474393
Wynn Resorts,0,B,-0.0479,0.556,360,46.63
Yahoo,2,B,-0.0239,0.04,689,12.32
Yum Brands,1,B,-0.0729,0.2185,1313,44.8
YUM!,2,B,0.2427,0.297,322,39.76
Zoll,1,B,0.0041,0.0396,0,18.58
