Company Name/ Symbol,Company Details,Market Data,Ownership Details,Risk Measures,Shares Outstanding & Trading Data,Estimates for future earnings & growth,Historical/Past growth,Income Statement/ Flow Numbers (Last Twelve Months),Balance Sheet (Most recent quarter),Capital Invested (Four quarters prior),R&D Expenses (Current & Last 5 years),Earnings & Dividends Per Share,Lease Commitments (Current year & Expected Future commitments),Cash Flow Numbers (Last Twelve Months) - Signs indicate cash flow effects,Last fiscal year numbers,Corporate Governance
Company Name,Year Founded,"Market Capitalization [My Setting] [Latest] ($USDmm, Historical rate)",Institutions - % Owned [Latest] (%),2 Year Beta [Latest],Shares Outstanding [My Setting] [Latest] (mm),Forward Revenue (next 12 months),"Net Income, 10 Yr CAGR % [LTM] (%)","Total Revenue [LTM] ($USDmm, Historical rate)","Cash And Equivalents [Latest Quarter] ($USDmm, Historical rate)","Total Debt [Latest Quarter - 4] ($USDmm, Historical rate)","R&D Expense [LTM] ($USDmm, Historical rate)","Basic EPS [LTM] ($USD, Historical rate)","Operating Lease Commitment Due, After 5 Yrs [Latest Annual] ($USDmm, Historical rate)","Change in Net Working Capital [LTM] ($USDmm, Historical rate)","Total Revenue [Latest Annual] ($USDmm, Historical rate)",% of Directors that are Internal
Canadian National Railway Company (TSX:CNR),1919,55903.2,0.5846,0.91,760.3,9551.8,5.72,8961.3,131,7515.1,,3.49,113.9,-23.8,8961.3,5
Canadian National Railway Company (TSX:CNR),1919,55903.2,0.5846,0.91,760.3,9551.8,5.72,8961.3,131,7515.1,,3.49,113.9,-23.8,8961.3,5
Enterprise Products Partners L.P. (NYSE:EPD),1968,57642.1,0.37479999999999997,1.04,2117.6,25781.9,17.4,23022.3,63.1,22544.5,,1.2,205.9,1817.9,23022.3,25
Suncor Energy Inc. (TSX:SU),1953,52457.8,0.6939,1.26,1669,26012.9,-17.5,19957.3,2245.4,11029.3,,0.201,1092.9,858.4,19957.3,7.69
General Dynamics Corporation (NYSE:GD),1899,57121.7,0.8314,0.935,303.4,31441.4,4.76,31353,2334,3399,418,9.7,443,1325,31353,7.14
Heineken N.V. (ENXTAM:HEIA),1864,48539.9,0.1864,0.794,569.7,23271.5,2.43,21948.7,3203.8,16296.5,,2.85,714.7,-149.9,21948.7,0
Tata Consultancy Services Limited (NSEI:TCS),1968,74162.5,0.1422,0.39,1970.4,19282.7,20.9,17194,551.6,26.9,164.7,1.95,186,673.1,16393.2,27.27
CSX Corporation (NasdaqGS:CSX),1978,43802.4,0.7843000000000001,1.37,926.4,11428.7,2.73,11069,603,10535,,1.81,153,288,11069,5.88
Enbridge Inc. (TSX:ENB),1949,68247.1,0.44049999999999995,1.06,1634.2,34165.2,12.8,25729.2,1576.1,31376.3,,1.45,442.2,-222.6,25729.2,7.69
Sun Hung Kai Properties Limited (SEHK:16),1972,42859.6,0.17850000000000002,0.997,2895.5,12520.7,8.39,13234.8,3022.6,10472.8,,1.72,112.3,-1384.9,11754,36.36
Air Liquide SA (ENXTPA:AI),1902,44656.3,0.2659,0.897,387.7,22532.3,6.29,19143.7,1607.7,8861.9,304,5.4,453.9,450,19143.7,15.38
Imperial Brands PLC (LSE:IMB),1901,45079.9,0.8751000000000001,0.475,948.4,10975.7,-2.95,18358.9,1658.9,21528.3,,0.861,41.7,-729.2,18358.9,33.33
Abbott Laboratories (NYSE:ABT),1888,77189.8,0.6509,1.09,1728,26316.1,-2.02,20853,18620,9001,1422,0.943,258,692,20853,8.33
Deutsche Post AG (XTRA:DPW),,41068.4,0.371,1.08,1211.3,64436.8,3.25,61019.7,3279.8,5623.7,84.5,2.32,2612.7,206.9,61019.7,0
Merck Kommanditgesellschaft auf Aktien (DB:MRK),1668,48857.2,0.165,0.77,434.8,16776.6,5.18,15859.8,991.2,14893.3,2189.4,3.96,30.6,375.8,15859.8,0
Shire plc (LSE:SHP),1986,53397.2,0.5643,0.628,898.5,15298.6,1.64,11396.6,528.8,1594.8,1430.9,0.425,441.9,2408.8,11396.6,15.38
Thermo Fisher Scientific Inc. (NYSE:TMO),1956,60112.4,0.8591,0.962,390.4,19515.2,28.2,18274.1,786.2,12488.4,754.8,5.12,176.5,429.9,18274.1,5.56
"The TJX Companies, Inc. (NYSE:TJX)",1956,51440.6,0.9177,0.869,645.6,35629.5,12,33183.7,2929.8,1709.3,,3.46,,-402.3,33183.7,18.18
