Company,Country,Money making or losing,Date,Prce/Share,DCF Value/Share,Multiple,Pricing/share,Option value,Recommendation
Vistry,GB,Money making,2024-05-03 00:00:00,12.87,21.98,EV/EBITDA,9.13,,Buy
Walmart,United States,Money making,2024-05-05 00:00:00,59.82,51.39,EV/Sales,61.69,,Buy
Walmart,United States,Money making,2024-05-04 00:00:00,59.82,55.53,EV/Sales,111.26,,Hold
Walmart,United States,Money making,2024-05-05 00:00:00,59.82,54.94,EV/Sales,62.96,,Hold
Walmart Inc.,United States,Money making,2024-05-04 00:00:00,59.82,34.98,EV/Sales,87.84,,Hold
Walmart Inc.,United States,Money making,2024-05-07 00:00:00,58.85,37.2,EV/EBITDA,147.96,,hold
Warner Bros. Discovery,United States,Money losing,2024-05-03 00:00:00,7.97,5.91,EV/Sales,28.62,9.89,Sell
Warner Music Group,United States,Money making,2024-05-05 00:00:00,34.06,34.64,EV/Sales,36.94,,Buy
Warner Music Group,United States,Money making,2024-05-04 00:00:00,34.14,17.14,EV/EBIT,27.9,,Sell
WeWork,United States,Money losing,2024-05-05 00:00:00,0.15,-48.08,EV/Sales,98.99,0.2,Sell
XPeng,China,Money losing,2024-05-03 00:00:00,65.56,39.53,EV/Sales,44.57,,Sell
Xpeng,China,Money losing,2024-05-05 00:00:00,35.8,24.15,EV/Sales,33.95,,Sell
Zillow,United States,Money losing,2024-05-05 00:00:00,40.69,20.54,EV/Sales,13.13,,Sell
Zip.Co,Australia,Money losing,2024-05-05 00:00:00,1.23,0.91,Price/Sales,0.81,,Sell
Zoom Video Communications,United States,Money making,2024-05-02 00:00:00,62.83,68.49,EV/Sales,52.67,,Buy
