Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [Latest] ($USDmm, Historical rate)","Total Debt [Latest Quarter] ($USDmm, Historical rate)","EBITDA [LTM] ($USDmm, Historical rate)","EBIT [LTM] ($USDmm, Historical rate)","Interest Expense [LTM] ($USDmm, Historical rate)","Total Common Equity [Latest Quarter] ($USDmm, Historical rate)",S&P Entity Credit Rating - Issuer Credit Rating - Foreign Currency LT [Latest] (Rating)
PT Humpuss Intermoda Transportasi Tbk (JKSE:HITS),JKSE:HITS,Energy (Primary),376.5,54.2,28,3.78,-4.8,19.9,
Cloud Peak Energy Inc. (NYSE:CLD),NYSE:CLD,Energy (Primary),374.1,562.5,184.7,57.5,-77.2,1087.8,
Southern Kuzbass Coal Company (MICEX:UKUZ),MICEX:UKUZ,Energy (Primary),373.1,2049.1,-123.9,-189.9,-158,274.1,
ION Geophysical Corporation (NYSE:IO),NYSE:IO,Energy (Primary),371.7,190.6,116,24,-19.4,135.6,B-
Isramco Inc. (NasdaqCM:ISRL),NasdaqCM:ISRL,Energy (Primary),366.2,100.2,45.6,14.4,-6.77,17.6,
Honghua Group Limited (SEHK:196),SEHK:196,Energy (Primary),364.9,826.7,100.8,63.9,-34.4,762.5,
"Gulfmark Offshore, Inc. (NYSE:GLF)",NYSE:GLF,Energy (Primary),361.8,544.7,171.9,96.6,-29.3,968.8,BB-
Pacific Radiance Ltd. (SGX:T8V),SGX:T8V,Energy (Primary),360.3,328.1,59.5,31.6,-9.11,428,
Aegis Logistics Limited (BSE:500003),BSE:500003,Energy (Primary),358.8,32.7,21.4,17.7,-2.66,61.7,
PT Citra Tubindo Tbk (JKSE:CTBN),JKSE:CTBN,Energy (Primary),357.4,22.7,40.2,33.9,-0.634,146.2,
Fission Uranium Corp. (TSX:FCU),TSX:FCU,Energy (Primary),357.2,0,-14.3,-14.3,,211.4,
Chevron Lubricants Lanka PLC (COSE:LLUB-N-0000),COSE:LLUB-N-0000,Energy (Primary),356.2,0,27.5,27.2,-0.003,39.6,
"Eagle Rock Energy Partners, L.P. (NasdaqGS:EROC)",NasdaqGS:EROC,Energy (Primary),352.2,263.3,194.4,-287.1,-17,388.5,B-
Hallador Energy Company (NasdaqCM:HNRG),NasdaqCM:HNRG,Energy (Primary),351.9,306.3,52.1,22.3,-9.06,189.9,
Siamgas and Petrochemicals Public Company Limited (SET:SGP),SET:SGP,Energy (Primary),349.6,347.9,21.1,-11.8,-13.4,251,
Oryx Petroleum Corporation Limited (TSX:OXC),TSX:OXC,Energy (Primary),348.3,0,-15.9,-20.7,-0.586,944.8,
"Basic Energy Services, Inc. (NYSE:BAS)",NYSE:BAS,Energy (Primary),348.2,931.1,312.7,95.1,-67,342.7,B+
Kinetic Mines and Energy Limited (SEHK:1277),SEHK:1277,Energy (Primary),348,185.4,35.4,27.5,-15.4,136.5,
CanElson Drilling Inc. (TSX:CDI),TSX:CDI,Energy (Primary),340.2,44.7,88.8,60.9,-0.422,375.4,
"Approach Resources, Inc. (NasdaqGS:AREX)",NasdaqGS:AREX,Energy (Primary),338,400,218.4,111.6,-21.7,774.3,B
"Earthstone Energy, Inc. (AMEX:ESTE)",AMEX:ESTE,Energy (Primary),337.9,11.2,33,-5.09,-0.597,316.5,
Faroe Petroleum plc (AIM:FPM),AIM:FPM,Energy (Primary),337.5,102.4,77.8,-179.2,-21.5,382.5,
"Shinko Plantech Co., Ltd. (TSE:6379)",TSE:6379,Energy (Primary),335.9,5.94,40.3,36.1,-0.217,281.4,
Panhandle Oil and Gas Inc. (NYSE:PHX),NYSE:PHX,Energy (Primary),335.6,78.7,70.4,44.6,-0.865,128.2,
Chesapeake Granite Wash Trust (NYSE:CHKR),NYSE:CHKR,Energy (Primary),325.4,0,,84,,256.6,
Ezra Holdings Limited (SGX:5DN),SGX:5DN,Energy (Primary),324.3,1786.9,132.1,66.9,-43.8,1112.7,
Legacy Oil + Gas Inc. (TSX:LEG),TSX:LEG,Energy (Primary),321.4,734.1,343.3,6.86,-37.6,1547.9,
PT Soechi Lines Tbk (JKSE:SOCI),JKSE:SOCI,Energy (Primary),320.7,171.5,57.8,45.1,-9.64,237.6,
Scomi Energy Services Bhd (KLSE:SCOMIES),KLSE:SCOMIES,Energy (Primary),318.8,136.9,67.1,42.1,-8.69,218.2,
RMP Energy Inc. (TSX:RMP),TSX:RMP,Energy (Primary),316.1,90.6,152.3,71,-3.35,316.7,
PT Energi Mega Persada Tbk (JKSE:ENRG),JKSE:ENRG,Energy (Primary),312.8,661.1,494.4,220.8,-69.1,902,B
PT Harum Energy Tbk (JKSE:HRUM),JKSE:HRUM,Energy (Primary),312.3,0,33.9,21.4,,287.6,
PT Elnusa Tbk (JKSE:ELSA),JKSE:ELSA,Energy (Primary),311.9,35.2,52.4,34.3,-2.25,206,
TOTAL Nigeria Plc (NGSE:TOTAL),NGSE:TOTAL,Energy (Primary),310.1,85.4,50.5,36.3,-14.3,75.8,
Mobil Oil Nigeria plc (NGSE:MOBIL),NGSE:MOBIL,Energy (Primary),307.7,9.33,,18.5,-1.01,73.8,
USD Partners LP (NYSE:USDP),NYSE:USDP,Energy (Primary),306.9,81.4,3.28,0.647,-4.83,40.6,
REX International Holding Limited (Catalist:5WH),Catalist:5WH,Energy (Primary),306.9,0,-7.61,-7.68,-0.158,189.1,
"Mitsuuroko Group Holdings Co.,Ltd. (TSE:8131)",TSE:8131,Energy (Primary),303,216.2,57,26.9,-3.27,568.9,
Canacol Energy Ltd (TSX:CNE),TSX:CNE,Energy (Primary),302.5,266.5,96.3,20.6,-17.1,372.3,
Key Energy Services Inc. (NYSE:KEG),NYSE:KEG,Energy (Primary),301.3,748.4,118.3,-82.7,-54.2,1058.1,B
North Atlantic Drilling Limited (OTCNO:NADL),OTCNO:NADL,Energy (Primary),299.2,2847.9,576.4,364.2,-103.3,451.5,
"Ring Energy, Inc. (AMEX:REI)",AMEX:REI,Energy (Primary),299.2,0,24.6,12.6,,142.5,
Exillon Energy plc (LSE:EXI),LSE:EXI,Energy (Primary),297.3,84.8,88.7,59.5,-2.66,585.7,
Padma Oil Company Limited (DSE:PADMAOIL),DSE:PADMAOIL,Energy (Primary),296.4,,,8.64,-1.47,,
Plexus Holdings plc (AIM:POS),AIM:POS,Energy (Primary),295.2,10,14.2,8.64,-0.221,54.8,
TransGlobe Energy Corporation (NasdaqGS:TGA),NasdaqGS:TGA,Energy (Primary),295,69.1,167.6,44.6,-7.57,500.1,
"Pacific Ethanol, Inc. (NasdaqCM:PEIX)",NasdaqCM:PEIX,Energy (Primary),294.4,40.7,105.3,92.1,-9.44,213.5,
"Nippon Coke & Engineering Company, Limited (TSE:3315)",TSE:3315,Energy (Primary),290.7,335.3,108.6,51.4,-5.11,362.2,
IchorCoal N.V. (DB:IO0),DB:IO0,Energy (Primary),290.2,170.9,3.66,-6.27,-19.3,-14.9,
PT Benakat Integra Tbk (JKSE:BIPI),JKSE:BIPI,Energy (Primary),286.7,820.7,198.1,143.8,-47.7,487.3,
Jamuna Oil Company Limited (DSE:JAMUNAOIL),DSE:JAMUNAOIL,Energy (Primary),286.4,0,19.5,18.6,-1.09,192.2,
KNM Group Bhd (KLSE:KNM),KLSE:KNM,Energy (Primary),282.2,228.4,63,50.1,-15.2,619.7,
"StealthGas, Inc. (NasdaqGS:GASS)",NasdaqGS:GASS,Energy (Primary),280.6,328,63,29.2,-11.2,592.4,
Global Offshore Services Limited (BSE:501848),BSE:501848,Energy (Primary),279.4,134.2,32.4,19.1,-8.4,67.7,
Adams Resources & Energy Inc. (AMEX:AE),AMEX:AE,Energy (Primary),278.6,0,39.6,6.95,-0.002,157.5,
D'Amico International Shipping S.A. (BIT:DIS),BIT:DIS,Energy (Primary),278.6,432.7,23.2,-8.47,-10.6,334.9,
Frontline Ltd. (NYSE:FRO),NYSE:FRO,Energy (Primary),278.6,957.5,106,24.5,-75.8,-71,
Pine Cliff Energy Ltd. (TSXV:PNE),TSXV:PNE,Energy (Primary),278.1,41.2,31.9,1.96,-0.571,161.6,
CropEnergies AG (XTRA:CE2),XTRA:CE2,Energy (Primary),277.5,184.1,30.9,-13.5,-6.12,466,
Meghna Petroleum Limited (DSE:MPETROLEUM),DSE:MPETROLEUM,Energy (Primary),273.5,0,8.67,7.49,-1.06,103.1,
SPT Energy Group Inc. (SEHK:1251),SEHK:1251,Energy (Primary),273.2,83.6,46.9,34.8,-5.82,286.1,
Rockhopper Exploration plc. (AIM:RKH),AIM:RKH,Energy (Primary),273.1,0,-14.7,-15.1,,260.8,
Tamarack Valley Energy Ltd (TSXV:TVE),TSXV:TVE,Energy (Primary),272.7,86.5,69.8,24.9,-2.18,262.9,
Senex Energy Limited (ASX:SXY),ASX:SXY,Energy (Primary),272.4,0,-32.2,-56.5,-0.796,342.7,
Ardmore Shipping Corporation (NYSE:ASC),NYSE:ASC,Energy (Primary),272.3,233.5,20.7,5.81,-4.12,327.2,
Navios Maritime Midstream Partners LP (NYSE:NAP),NYSE:NAP,Energy (Primary),270.6,126,46,26.5,-25.5,248.5,
Ganger Rolf ASA (OB:GRO),OB:GRO,Energy (Primary),268.8,222.6,-8.27,-8.51,-17.7,716.8,
Renaissance Services SAOG (MSM:RNSS),MSM:RNSS,Energy (Primary),266.9,1146.4,236.7,160.7,-77.3,437.7,
Natural Gas Services Group Inc. (NYSE:NGS),NYSE:NGS,Energy (Primary),266.7,0.417,43.4,22,-0.01,210.6,
Wah Seong Corporation Berhad (KLSE:WASEONG),KLSE:WASEONG,Energy (Primary),264.9,290.5,84.4,63.5,-5.97,307.4,
Agritrade Resources Limited (SEHK:1131),SEHK:1131,Energy (Primary),262.1,44.1,37.4,21.7,-6.15,180.6,
BP Castrol K.K. (TSE:5015),TSE:5015,Energy (Primary),260.1,0,22.1,20.5,,92.1,
Geospace Technologies Corporation (NasdaqGS:GEOS),NasdaqGS:GEOS,Energy (Primary),259.5,0,26.5,8.24,-0.451,321.3,
GeoPark Limited (NYSE:GPRK),NYSE:GPRK,Energy (Primary),259.5,369.6,213.3,69.9,-26.4,375.6,
Perdana Petroleum Berhad (KLSE:PERDANA),KLSE:PERDANA,Energy (Primary),258.5,196.6,39.1,24.2,-8.59,187.1,
BlackPearl Resources Inc. (TSX:PXX),TSX:PXX,Energy (Primary),258,25,90.2,31.2,-0.437,586.4,
MIE Holdings Corporation (SEHK:1555),SEHK:1555,Energy (Primary),257.8,727.9,255.7,106,-65.1,573.5,B
"Fuji Oil Company, Ltd. (TSE:5017)",TSE:5017,Energy (Primary),256.6,1406.7,-105.1,-177.7,-24.2,482.5,
"Blueknight Energy Partners, L.P. (NasdaqGM:BKEP)",NasdaqGM:BKEP,Energy (Primary),255.7,218.8,60.9,34.9,-12.3,525.8,
Petrolera Pampa S.A. (BASE:PETR),BASE:PETR,Energy (Primary),254.7,116.3,27.7,18.2,-20.3,30.1,
Falkland Oil and Gas Ltd. (AIM:FOGL),AIM:FOGL,Energy (Primary),253.6,0,-5.85,-5.92,,351.2,
"Solazyme, Inc. (NasdaqGS:SZYM)",NasdaqGS:SZYM,Energy (Primary),253,200.1,-121.4,-127.7,-13.5,86.4,
Shell Pakistan Limited (KASE:SHEL),KASE:SHEL,Energy (Primary),251.9,37.3,4.31,-2.37,-1.93,58.3,
Arc Logistics Partners LP (NYSE:ARCX),NYSE:ARCX,Energy (Primary),250.6,111.1,14.4,1.69,-3.71,213.1,
Linc Energy Ltd (DB:L7E),DB:L7E,Energy (Primary),249.4,563.5,15.5,-102.9,-65.9,174.3,
CH Offshore Ltd. (SGX:C13),SGX:C13,Energy (Primary),248.9,0,24.3,18.8,,228.5,
Tethys Oil AB (publ) (OM:TETY),OM:TETY,Energy (Primary),248.9,0,96,68.5,-4.09,214.1,
Bonheur ASA (OB:BON),OB:BON,Energy (Primary),248.8,2506.2,577.7,174.2,-233.7,1073.7,
Velocys plc (AIM:VLS),AIM:VLS,Energy (Primary),248.8,2.06,-33.6,-35.2,-0.07,71.4,
Steel Excel Inc. (OTCPK:SXCL),OTCPK:SXCL,Energy (Primary),248.7,79.9,37.4,13.3,-3.18,357.5,NR
Alon Natural Gas Exploration Ltd. (TASE:ALGS),TASE:ALGS,Energy (Primary),248.1,218.1,45.5,39.6,-13.7,11.3,
Rex Energy Corporation (NasdaqGS:REXX),NasdaqGS:REXX,Energy (Primary),244.8,679.2,193.1,-37.7,-35.5,527.1,B-
"Sinanen Co., Ltd. (TSE:8132)",TSE:8132,Energy (Primary),243.3,35.2,45.5,16.8,-0.426,380.1,
"Jones Energy, Inc. (NYSE:JONE)",NYSE:JONE,Energy (Primary),243.3,860,477.9,295.4,-46.7,215.5,B
TransAtlantic Petroleum Ltd. (AMEX:TAT),AMEX:TAT,Energy (Primary),241.1,158.6,120.6,51.9,-6.21,211.5,
Hugoton Royalty Trust (NYSE:HGT),NYSE:HGT,Energy (Primary),238.4,0,,43.9,,91.4,
Arch Coal Inc. (NYSE:ACI),NYSE:ACI,Energy (Primary),236.1,5160.4,252.6,-152.9,-390.9,1668.2,B
Seventy Seven Energy Inc. (NYSE:SSE),NYSE:SSE,Energy (Primary),235.2,1598.5,392.4,99.5,-79.7,291,B
Gastar Exploration Inc. (AMEX:GST),AMEX:GST,Energy (Primary),234.3,360.3,125.5,78.8,-27.6,350.2,B-
PT Bumi Resources Tbk (JKSE:BUMI),JKSE:BUMI,Energy (Primary),234.1,4263,216.6,6.16,-839.5,-442.3,D
Mermaid Maritime Public Company Limited (SGX:DU4),SGX:DU4,Energy (Primary),233.9,117.2,36.7,6.91,-3.42,558.9,
Varyeganneftegaz Open Joint Stock Company (MICEX:VJGZ),MICEX:VJGZ,Energy (Primary),233.2,0,197.4,111.7,-5.91,621.3,
Yakutsk Fuel and Energy Company Open Joint-Stock Company (MICEX:YAKG),MICEX:YAKG,Energy (Primary),232.7,90.5,,6.08,-10.4,192.5,
Gulf Island Fabrication Inc. (NasdaqGS:GIFI),NasdaqGS:GIFI,Energy (Primary),232.3,0,53.6,27.1,-0.037,285.8,
The Energy House Holding Company K.S.C.P. (KWSE:ENERGYH),KWSE:ENERGYH,Energy (Primary),232,0.256,2.67,-0.915,-0.205,214,
"Alpha Natural Resources, Inc. (NYSE:ANR)",NYSE:ANR,Energy (Primary),230.6,3897.8,253.3,-584.3,-288.5,2986.8,B
Dyna-Mac Holdings Ltd. (SGX:NO4),SGX:NO4,Energy (Primary),229.6,50.5,36.7,27.6,-1.35,148.1,
Chinook Energy Inc. (TSX:CKE),TSX:CKE,Energy (Primary),227.3,0,43.1,-56.2,-2.57,243.9,
"Aventine Renewable Energy Holdings, Inc (OTCPK:AVRW)",OTCPK:AVRW,Energy (Primary),227.3,,63.3,54.2,-15.7,,NR
Ipek Dogal Enerji Kaynaklari Arastirma ve Uretim Anonim Sirketi (IBSE:IPEKE),IBSE:IPEKE,Energy (Primary),227.2,26.2,226.2,152.7,-31.4,341.2,
PHX Energy Services Corp. (TSX:PHX),TSX:PHX,Energy (Primary),226.1,95,69.1,41.4,-3.65,172.7,
Awilco Drilling Plc (OB:AWDR),OB:AWDR,Energy (Primary),225.4,120,194.9,177,-11.9,208.4,
FAR Limited (ASX:FAR),ASX:FAR,Energy (Primary),224.7,0,-7.62,-7.66,-0.001,61.6,
Chu Kong Petroleum and Natural Gas Steel Pipe Holdings Limited (SEHK:1938),SEHK:1938,Energy (Primary),224.3,962.3,-26.4,-45.3,-42,525.3,
Sino Gas & Energy Holdings Ltd. (ASX:SEH),ASX:SEH,Energy (Primary),224.3,6.45,-5.13,-5.16,-0.66,102.2,
"Changhae Ethanol Co., Ltd. (KOSDAQ:A004650)",KOSDAQ:A004650,Energy (Primary),222.8,81.6,30,18.4,-4.43,86.2,
Nordic American Offshore Ltd. (NYSE:NAO),NYSE:NAO,Energy (Primary),222.6,0,24.2,12.8,-1.04,319.2,
Saudi Arabia Refineries Company (SASE:2030),SASE:2030,Energy (Primary),222.2,0,5.85,5.85,,127.2,
Sandridge Mississippian Trust II (NYSE:SDR),NYSE:SDR,Energy (Primary),221.8,0,,78.4,,364.9,
Goodrich Petroleum Corp. (NYSE:GDP),NYSE:GDP,Energy (Primary),221.6,568.6,-163.1,-301.9,-47.8,-18,B-
Delphi Energy Corp. (TSX:DEE),TSX:DEE,Energy (Primary),219.1,135.4,83.8,-5.14,-6.9,198.8,
Solstad Offshore ASA (OB:SOFF),OB:SOFF,Energy (Primary),218.5,1560.5,214.3,152.5,-58.4,696.8,
Reach Energy Berhad (KLSE:REACH),KLSE:REACH,Energy (Primary),217.9,0,-8.18,-8.25,-3.19,9.21,
INOC- Dead Sea Limited Partnership (TASE:HLDS.L),TASE:HLDS.L,Energy (Primary),214.1,0,-0.028,-11.3,-0.046,241.3,
Toyo Kanetsu Kabushiki Kaisha (TSE:6369),TSE:6369,Energy (Primary),213.1,33.5,43.6,36.1,-0.117,290.6,
Comstock Resources Inc. (NYSE:CRK),NYSE:CRK,Energy (Primary),212.7,1070.4,415.1,36.9,-58.6,870.3,B
Icon Offshore Berhad (KLSE:ICON),KLSE:ICON,Energy (Primary),212.1,191.3,50,30.5,-14.4,309.1,
Hargreaves Services Plc (AIM:HSP),AIM:HSP,Energy (Primary),211.3,96.3,105.3,70.5,-7.21,237.7,
Transportadora de Gas del Norte S.A. (BASE:TGNO4),BASE:TGNO4,Energy (Primary),210.8,206.9,-12.4,-28.5,-13.8,97,
Sumatec Resources Berhad (KLSE:SUMATEC),KLSE:SUMATEC,Energy (Primary),210.8,4.86,17,16.8,-0.55,175.9,
"Cardinal Ethanol, LLC (OTCPK:CRDE)",OTCPK:CRDE,Energy (Primary),210,0,94.3,85.5,-0.002,148.2,
Ithaca Energy Inc. (TSX:IAE),TSX:IAE,Energy (Primary),208.4,784.9,128.1,-471.9,-13.7,845,B
Anglo Pacific Group plc (LSE:APF),LSE:APF,Energy (Primary),207.2,0,-3.15,-13,,251.3,
Anhui Tianda Oil Pipe Company Limited (SEHK:839),SEHK:839,Energy (Primary),206.7,30,36.9,10.8,-0.911,358.9,
Hibiscus Petroleum Berhad (KLSE:HIBISCS),KLSE:HIBISCS,Energy (Primary),205.2,0.063,-5.22,-5.82,-0.002,145.4,
"Tide Water Oil Co. (India), Ltd. (BSE:590005)",BSE:590005,Energy (Primary),203.8,,15.6,14,-0.045,,
Twin Butte Energy Ltd. (TSX:TBE),TSX:TBE,Energy (Primary),203.7,282.2,311.6,-52.8,-15,340.8,
Sundance Energy Australia Limited (ASX:SEA),ASX:SEA,Energy (Primary),203.6,128.9,124.1,38.5,-0.699,435,
Swissco Holdings Limited (SGX:ADP),SGX:ADP,Energy (Primary),202.5,250.8,21.3,11.5,-4.73,217.6,
Aurora LPG Holding ASA (OB:AURLPG),OB:AURLPG,Energy (Primary),201.6,114,51.3,46.2,-2.71,239.3,
"LRR Energy, L.P. (NYSE:LRE)",NYSE:LRE,Energy (Primary),201.6,283.1,142.2,102.9,-12.3,218.3,
Maridive & Oil Services SAE (CASE:MOIL),CASE:MOIL,Energy (Primary),200.7,504.3,56.1,23.9,-17.4,272.1,
Evolution Petroleum Corp. (AMEX:EPM),AMEX:EPM,Energy (Primary),200.1,0,10.2,8.56,-0.067,48.7,
Petron Malaysia Refining & Marketing Bhd (KLSE:PETRONM),KLSE:PETRONM,Energy (Primary),199.8,282.6,16.5,-6.55,-17.4,217.4,
Feishang Anthracite Resources Limited (SEHK:1738),SEHK:1738,Energy (Primary),199.4,312.6,16,-17.8,-21.4,10.8,
PT Berau Coal Energy Tbk (JKSE:BRAU),JKSE:BRAU,Energy (Primary),198.9,961.2,216.4,160.2,-133.5,-85.1,CCC-
Kværner ASA (OB:KVAER),OB:KVAER,Energy (Primary),197.3,65.1,110,100.6,-7.35,312.4,
Lanna Resources Public Company Limited (SET:LANNA),SET:LANNA,Energy (Primary),196.5,56.5,35,26.7,-2.01,127.2,
Journey Energy Inc. (TSX:JOY),TSX:JOY,Energy (Primary),192.7,72,94,-93.5,-6.4,237.2,
Total Cote d'Ivoire SA (BRVM:TTLC),BRVM:TTLC,Energy (Primary),192.5,,,,,,
Gas Plus S.p.A. (BIT:GSP),BIT:GSP,Energy (Primary),191.5,66.6,43.2,16.6,-14.5,267.3,
Spectrum ASA (OB:SPU),OB:SPU,Energy (Primary),190.8,2.95,149.2,51.6,-0.452,174.3,
Roxi Petroleum PLC (AIM:RXP),AIM:RXP,Energy (Primary),190.6,11.4,18.9,18.2,-1.1,63.8,
Sunshine Oilsands Ltd. (SEHK:2012),SEHK:2012,Energy (Primary),188.6,181.4,-15.9,-17.2,-11.6,839.3,
Lightstream Resources Ltd. (TSX:LTS),TSX:LTS,Energy (Primary),188,1282.5,647.6,-365,-106.2,1205.9,B
Société Anonyme Marocaine de l'Industrie du Raffinage (CBSE:SAM),CBSE:SAM,Energy (Primary),187.4,3065.3,98.7,20.1,-94.8,778.1,
Artek Exploration Ltd (TSX:RTK),TSX:RTK,Energy (Primary),186.4,58.2,27.3,-27.7,-1.76,152.6,
PT Surya Esa Perkasa TBK (JKSE:ESSA),JKSE:ESSA,Energy (Primary),186.3,30.9,19.4,15.4,-0.958,98.5,
RH PetroGas Limited (SGX:T13),SGX:T13,Energy (Primary),186.3,39,21.4,-8.42,-2.08,150,
SALA Corporation (TSE:2734),TSE:2734,Energy (Primary),185.5,263.8,48.9,21.2,-1.97,243.2,
Open Joint Stock Company Kuzbasskaya Toplivnaya Company (MICEX:KBTK),MICEX:KBTK,Energy (Primary),183.8,218.9,40.5,20.8,-8.95,146,
"Amyris, Inc. (NasdaqGS:AMRS)",NasdaqGS:AMRS,Energy (Primary),183.8,237,-80.1,-95,-29.4,-124.5,
Barakah Offshore Petroleum Berhad (KLSE:BARAKAH),KLSE:BARAKAH,Energy (Primary),183.6,84.9,33.5,27.9,,100.6,
"Independence Contract Drilling, Inc. (NYSE:ICD)",NYSE:ICD,Energy (Primary),181,22.5,-4.16,-20.3,-1.65,236.7,
Resources Prima Group Limited (Catalist:5MM),Catalist:5MM,Energy (Primary),180.7,,,,,,
Total Petroleum Ghana Limited (GHSE:TOTAL),GHSE:TOTAL,Energy (Primary),180.5,12.9,,,,36.3,
Archer Limited (OB:ARCHER),OB:ARCHER,Energy (Primary),179.6,811.4,235.6,86.3,-46.9,546.1,
Turcas Petrol AS (IBSE:TRCAS),IBSE:TRCAS,Energy (Primary),177.2,172.6,6.82,6.09,-40.4,291,
Perisai Petroleum Teknologi Bhd (KLSE:PERISAI),KLSE:PERISAI,Energy (Primary),177.2,332.6,12.7,-0.79,-6.94,334.6,
"Atlas Energy Group, LLC (NYSE:ATLS)",NYSE:ATLS,Energy (Primary),177.1,1542.6,256,-548.6,-73.4,201.3,
"Aspen Aerogels, Inc. (NYSE:ASPN)",NYSE:ASPN,Energy (Primary),176.8,0.165,-5.86,-16,-50.3,123.7,
Total Kenya Limited (NASE:TOTL.O),NASE:TOTL.O,Energy (Primary),176.8,81,35,24.3,-3,181.2,
High Arctic Energy Services Inc (TSX:HWO),TSX:HWO,Energy (Primary),176.7,0,41.4,30.3,-0.345,143,
Chennai Petroleum Corporation Ltd (BSE:500110),BSE:500110,Energy (Primary),174.7,737.9,-50.5,-113.9,-44.2,312.3,
"Mid-Con Energy Partners, LP (NasdaqGS:MCEP)",NasdaqGS:MCEP,Energy (Primary),174.1,205,80.8,58.7,-4.73,232.8,
Gaylin Holdings Limited (SGX:RF7),SGX:RF7,Energy (Primary),173.6,62.2,10.7,8.87,-1.47,78.3,
PT Indika Energy Tbk (JKSE:INDY),JKSE:INDY,Energy (Primary),172.9,1010.7,129.3,-11,-69,692.3,
Deleum Berhad (KLSE:DELEUM),KLSE:DELEUM,Energy (Primary),171.6,44.4,28.4,22.2,-1.14,78.6,
Petro-king Oilfield Services Limited (SEHK:2178),SEHK:2178,Energy (Primary),170.4,96.7,-46.8,-50.3,-4.76,225.9,
"Pardee Resources Company, Inc. (OTCPK:PDER)",OTCPK:PDER,Energy (Primary),170.4,,,,,,
PetroQuest Energy Inc. (NYSE:PQ),NYSE:PQ,Energy (Primary),169.9,425,149.8,56.9,-29.3,66.2,B
Geo Energy Resources Limited (SGX:RE4),SGX:RE4,Energy (Primary),169.4,87.7,-4.25,-10.8,-5.24,107.7,
Alam Maritim Resources Berhad (KLSE:ALAM),KLSE:ALAM,Energy (Primary),166.6,90.2,24.6,13.4,-6.74,237.4,
Farstad Shipping ASA (OB:FAR),OB:FAR,Energy (Primary),166,1565.3,211.4,110.6,-78.1,885.5,
ZCL Composites Inc. (TSX:ZCL),TSX:ZCL,Energy (Primary),165.4,2.25,21.6,18.7,-0.331,106.6,
Sona Petroleum Berhad (KLSE:SONA),KLSE:SONA,Energy (Primary),164.9,0,3.32,3.29,-4.78,8.85,
Vallianz Holdings Limited (Catalist:545),Catalist:545,Energy (Primary),164.8,544.1,54.9,37.3,-22.3,212.8,
Chinese People Holdings Company Limited (SEHK:681),SEHK:681,Energy (Primary),164.4,8.07,8.69,4.66,-1.43,208.4,
Cequence Energy Ltd. (TSX:CQE),TSX:CQE,Energy (Primary),163.9,49.4,74.5,31.9,-6.95,447.4,
AB Klaipedos nafta (NSEL:KNF1L),NSEL:KNF1L,Energy (Primary),163.2,36.3,20.3,11.2,,211.9,
Uzma Berhad (KLSE:UZMA),KLSE:UZMA,Energy (Primary),161.5,26.1,15.6,13.5,-1.2,72.6,
Lanka IOC PLC (COSE:LIOC-N-0000),COSE:LIOC-N-0000,Energy (Primary),160.1,50.1,33,31.1,-0.063,146.2,
Baker Technology Limited (SGX:568),SGX:568,Energy (Primary),160,0,14.1,12.3,,163.7,
TSC Group Holdings Limited (SEHK:206),SEHK:206,Energy (Primary),159.6,65.2,34.8,27.4,-3.22,221.9,
Odfjell Drilling Ltd. (OB:ODL),OB:ODL,Energy (Primary),159.3,1713.9,352.2,211.2,-43.6,1115.9,
Rain Industries Limited (BSE:500339),BSE:500339,Energy (Primary),158,1213.7,194.9,138.4,-96.2,466,
National Refinery Limited (KASE:NRL),KASE:NRL,Energy (Primary),157.6,0,10.3,7.08,,262.4,
Songa Offshore SE (OB:SONG),OB:SONG,Energy (Primary),157.2,827.2,195.8,81.5,-33.5,1047.7,NR
Andes Energia PLC (AIM:AEN),AIM:AEN,Energy (Primary),155.8,62.5,7.5,4.73,-9.33,126,
Falcon Energy Group Limited (SGX:5FL),SGX:5FL,Energy (Primary),154.8,240,43.3,29.9,-5.2,267.9,
Toa Oil Co. Ltd. (TSE:5008),TSE:5008,Energy (Primary),154.4,220.6,51.5,9.16,-1.59,181.9,
Pacific Coast Oil Trust (NYSE:ROYT),NYSE:ROYT,Energy (Primary),154.3,0,,54.1,,236.1,
Cohen Development & Industrial Buildings Ltd. (TASE:CDEV),TASE:CDEV,Energy (Primary),152.9,0,6.61,6.6,-0.479,19.4,
Enduro Royalty Trust (NYSE:NDRO),NYSE:NDRO,Energy (Primary),151.1,0,,28.7,,528.4,
Attock Refinery Limited (KASE:ATRL),KASE:ATRL,Energy (Primary),150.9,65.7,-23.1,-24.5,-0.973,351.4,
Naphtha Exploration LP (TASE:NFEX.L),TASE:NFEX.L,Energy (Primary),148.8,0,-0.029,-11.3,-0.013,162.8,
Epsilon Energy Ltd. (Canada) (TSX:EPS),TSX:EPS,Energy (Primary),148.7,38.5,38.4,15.3,-4.4,91.7,
Mart Resources Inc. (TSX:MMT),TSX:MMT,Energy (Primary),148.6,189.9,116.5,59.6,-11.3,92,
The Parkmead Group Plc (AIM:PMG),AIM:PMG,Energy (Primary),148.6,7.36,3.41,-30.1,-2.65,129,
New Zealand Oil & Gas Limited (NZSE:NZO),NZSE:NZO,Energy (Primary),148,0.704,60.8,3.6,,256.7,
