Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [Latest] ($USDmm, Historical rate)","Total Debt [Latest Quarter] ($USDmm, Historical rate)","EBITDA [LTM] ($USDmm, Historical rate)","EBIT [LTM] ($USDmm, Historical rate)","Interest Expense [LTM] ($USDmm, Historical rate)","Total Common Equity [Latest Quarter] ($USDmm, Historical rate)",S&P Entity Credit Rating - Issuer Credit Rating - Foreign Currency LT [Latest] (Rating)
Zhejiang Haiyue Co. Ltd. (SHSE:600387),SHSE:600387,Energy (Primary),1152.5,1004.1,-2.7,-9.28,-8.73,201.9,
Crestwood Equity Partners LP (NYSE:CEQP),NYSE:CEQP,Energy (Primary),1146.6,2401.4,471.3,186,-127.1,776.2,
"Alon USA Energy, Inc. (NYSE:ALJ)",NYSE:ALJ,Energy (Primary),1142.2,564.9,325.4,201.3,-111.1,636.2,NR
McDermott International Inc. (NYSE:MDR),NYSE:MDR,Energy (Primary),1139.9,891.5,72.5,-20.7,-60.9,1488.2,B+
Premier Oil plc (LSE:PMO),LSE:PMO,Energy (Primary),1138.1,2386.2,1001.6,486.7,-149.4,1872.2,
"Alon USA Partners, LP (NYSE:ALDW)",NYSE:ALDW,Energy (Primary),1128.9,302.4,270.1,222.6,-46.7,188.4,B+
Navigator Holdings Ltd. (NYSE:NVGS),NYSE:NVGS,Energy (Primary),1127.4,542.9,157.3,115.5,-30.3,805.7,
Canadian Energy Services & Technology Corp. (TSX:CEU),TSX:CEU,Energy (Primary),1122.4,324.3,134.8,101.2,-20.2,466.3,B
Whitehaven Coal Limited (ASX:WHC),ASX:WHC,Energy (Primary),1121.4,818.4,127.3,-1.93,-33.2,2540.8,
Beijing Oil HBP Group (SZSE:002554),SZSE:002554,Energy (Primary),1120.4,48.9,37.7,34.4,,221.3,
Freehold Royalties Ltd. (TSX:FRU),TSX:FRU,Energy (Primary),1119.1,120,139.3,80.9,-3.8,363.4,
Seplat Petroleum Development Company Plc (LSE:SEPL),LSE:SEPL,Energy (Primary),1118,589.4,377.5,332.2,-47.4,1409.1,
Green Plains Inc. (NasdaqGS:GPRE),NasdaqGS:GPRE,Energy (Primary),1117.8,672.8,336.1,275.8,-39.9,797.4,B+
Schoeller-Bleckmann Oilfield Equipment AG (WBAG:SBO),WBAG:SBO,Energy (Primary),1109.7,200.7,177.9,125.9,-14.2,551.6,
"Xinjiang International Industry Co.,Ltd (SZSE:000159)",SZSE:000159,Energy (Primary),1106.3,70,8.45,3.75,-6.67,347.2,
Tidewater Inc. (NYSE:TDW),NYSE:TDW,Energy (Primary),1103.2,1491.3,451.3,278.3,-50.7,2502.7,NR
Global Partners LP (NYSE:GLP),NYSE:GLP,Energy (Primary),1092,609.3,253.8,167.4,-47.8,586.2,B+
Beach Energy Limited (ASX:BPT),ASX:BPT,Energy (Primary),1073.2,120.8,195.5,-113.2,-10.6,1459.1,
Nordic American Tankers Limited (NYSE:NAT),NYSE:NAT,Energy (Primary),1072,250,58.3,-6.28,-12.2,882.1,
CONE Midstream Partners LP (NYSE:CNNX),NYSE:CNNX,Energy (Primary),1068.5,31.3,72.2,64.8,,297.3,
RAK Petroleum plc (OB:RAKP),OB:RAKP,Energy (Primary),1048.9,0,-6.62,-6.65,-0.008,867.9,
BW LPG Limited (OB:BWLPG),OB:BWLPG,Energy (Primary),1044.3,531.9,327.4,269,-11.3,1071.4,
