Company Name/ Symbol,Company Details,Market Data,Ownership Details,Risk Measures,Shares Outstanding & Trading Data,Estimates for future earnings & growth,Historical/Past growth,Income Statement/ Flow Numbers (Last Twelve Months),Balance Sheet (Most recent quarter),Capital Invested (Four quarters prior),R&D Expenses (Current & Last 5 years),Earnings & Dividends Per Share,Lease Commitments (Current year & Expected Future commitments),Cash Flow Numbers (Last Twelve Months) - Signs indicate cash flow effects,Last fiscal year numbers,Corporate Governance
Company Name,Year Founded,"Day Close Price [Latest] ($USD, Historical rate)",Corporations - % Owned [Latest] (%),5 Year Beta [Latest],Total Options Out. at the End of Year [Latest Annual] (mm),Expected EBITDA in next 4  quarters,"EBIT, 10 Yr CAGR % [LTM] (%)","EBITDA [LTM] ($USDmm, Historical rate)","Net Property, Plant & Equipment [Latest Quarter] ($USDmm, Historical rate)","Total Minority Interest [Latest Quarter - 4] ($USDmm, Historical rate)","R&D Expense [LTM - 1] ($USDmm, Historical rate)","Basic EPS Excl. Extra Items [LTM] ($USD, Historical rate)","Operating Lease Commitment Due +5 [Latest Annual] ($USDmm, Historical rate)","Pref. Dividends Paid [LTM] ($USDmm, Historical rate)","EBITDA [Latest Annual] ($USDmm, Historical rate)",Corporate Governance - Board Member Term Length (Years)
Eaton Corporation plc (NYSE:ETN),1916,60.76,0,1.54,6.2,3336.9,0.07,3267,3506,47,607,4.26,32,0,3314,1
eBay Inc. (NasdaqGS:EBAY),1995,27.95,0,1.08,7,3568.8,0.0567,3026,1526,0,1114,1.61,25,0,2946,1
Ecolab Inc. (NYSE:ECL),1923,110.67,0,0.868,12.4,3068.6,0.131,2862.1,3292.9,59.4,191,3.65,43,0,2916.2,1
Eli Lilly and Company (NYSE:LLY),1876,72.49,0,0.185,0,6381.9,-0.0128,5056.7,8251.9,19.5,5144.5,2.31,90.6,0,5172.8,3
Emerson Electric Co. (NYSE:EMR),1890,49.41,0,1.2,0,3116.2,-0.0159,3168,2931,47,506,2.46,0,0,3168,3
Emirates Telecommunications Group Company PJSC (ADX:ETISALAT),1976,5.04,0,0.121,0,7069.3,0.0998,5862.9,12396.3,4295.8,0,0.285,75.2,0,5684.7,NA
Enbridge Inc. (TSX:ENB),1949,41.21,0.0334,0.378,32.8,5575.5,0.141,4873,48530.7,2399.2,0,1.53,46.1,-221.7,3217.3,1
Enel SpA (BIT:ENEL),1962,4.25,0,0.849,0,16805,0.0633,17462.4,83436.1,22731.3,2.28,0.254,1050.8,0,16739.6,NA
Enterprise Products Partners L.P. (NYSE:EPD),1968,24.53,0.32049999999999995,0.911,0,5565,0.15,4808.4,NA,190.8,0,1.25,41,0,4845.2,NA
Exelon Corporation (NYSE:EXC),1887,32.69,0,0.279,15.6,7872.3,-0.00266,8700,71214,1519,0,1.34,127,0,8219,1
Express Scripts Holding Company (NasdaqGS:ESRX),1986,67.86,0,1.16,18,7406.4,0.205,6839.1,1255.5,7.9,409.4,4.26,29.4,0,6865.8,1
Exxon Mobil Corporation (NYSE:XOM),1870,83.57,0,0.839,0,54990.9,-0.342,20115,NA,6116,1008,2.14,265,0,30931,1
"Facebook, Inc. (NasdaqGS:FB)",2004,120.75,0,0.778,8.44,21627.1,NA,12776,7899,0,5391,2.63,184,0,8239,1
Fast Retailing Co. Ltd. (TSE:9983),1949,344.48,0,0.763,0,2078.1,0.0864,1917.3,1177.8,196.8,0,4.56,0,0,1917.3,NA
FedEx Corporation (NYSE:FDX),1971,174.8,0,1.28,14.4,8723,0.045599999999999995,7742,24804,0,0,6.78,1451,0,7531,1
"Fomento Económico Mexicano, S.A.B de C.V (BMV:FEMSA UBD)",1890,9,0,-0.082,0,2941,0.0731,2470.2,4729.7,3373.1,0,0.29,192.5,0,2597.6,1
Ford Motor Co. (NYSE:F),1903,11.34,0,1.29,45.4,11202.7,NA,15444,34341,113,6700,1.83,76,0,16017,1
Formosa Petrochemical Corp. (TSEC:6505),1992,3.2,0.8629000000000001,0.528,0,2517.9,0.0294,3043,3829.5,1.05,5.93,0.219,0,0,2120.4,NA
